age,education_num,hours_per_week,income_class
*,*,51,LowerMiddle
*,*,48,UpperMiddle
*,*,35,Low
*,*,31,Low
*,*,46,Low
*,*,36,High
*,*,40,Low
*,*,33,LowerMiddle
*,*,39,High
*,*,28,VeryHigh
*,*,36,LowerMiddle
*,*,27,LowerMiddle
*,*,48,UpperMiddle
*,*,27,Low
*,*,38,VeryHigh
*,*,39,UpperMiddle
*,*,33,LowerMiddle
*,*,41,UpperMiddle
*,*,49,LowerMiddle
*,*,52,UpperMiddle
*,*,41,Low
*,*,39,Low
*,*,47,UpperMiddle
*,*,46,UpperMiddle
*,*,48,UpperMiddle
*,*,42,LowerMiddle
*,*,32,UpperMiddle
*,*,26,LowerMiddle
*,*,46,High
*,*,49,LowerMiddle
*,*,38,LowerMiddle
*,*,54,Low
*,*,18,Low
*,*,26,LowerMiddle
*,*,38,LowerMiddle
*,*,45,Low
*,*,35,Low
*,*,48,Low
*,*,28,UpperMiddle
*,*,41,LowerMiddle
*,*,34,LowerMiddle
*,*,54,Low
*,*,51,High
*,*,43,LowerMiddle
*,*,51,Low
*,*,35,LowerMiddle
*,*,40,LowerMiddle
*,*,41,VeryHigh
*,*,46,LowerMiddle
*,*,51,High
*,*,36,LowerMiddle
*,*,45,LowerMiddle
*,*,42,Low
*,*,28,Low
*,*,46,UpperMiddle
*,*,41,Low
*,*,39,LowerMiddle
*,*,43,LowerMiddle
*,*,33,LowerMiddle
*,*,30,Low
*,*,49,UpperMiddle
*,*,37,LowerMiddle
*,*,39,Low
*,*,47,LowerMiddle
*,*,37,Low
*,*,42,LowerMiddle
*,*,49,High
*,*,35,VeryHigh
*,*,44,Low
*,*,28,Low
*,*,43,LowerMiddle
*,*,54,LowerMiddle
*,*,35,Low
*,*,27,UpperMiddle
*,*,55,LowerMiddle
*,*,40,LowerMiddle
*,*,28,UpperMiddle
*,*,26,LowerMiddle
*,*,29,LowerMiddle
*,*,45,LowerMiddle
*,*,36,UpperMiddle
*,*,42,LowerMiddle
*,*,50,UpperMiddle
*,*,41,High
*,*,44,LowerMiddle
*,*,38,UpperMiddle
*,*,42,High
*,*,31,Extreme
*,*,31,LowerMiddle
*,*,34,UpperMiddle
*,*,43,VeryHigh
*,*,19,LowerMiddle
*,*,36,Low
*,*,45,UpperMiddle
*,*,24,LowerMiddle
*,*,28,LowerMiddle
*,*,30,Low
*,*,18,UpperMiddle
*,*,43,LowerMiddle
*,*,59,VeryHigh
*,*,38,UpperMiddle
*,*,43,Low
*,*,49,High
*,*,42,UpperMiddle
*,*,48,UpperMiddle
*,*,41,LowerMiddle
*,*,47,High
*,*,31,Low
*,*,36,LowerMiddle
*,*,52,LowerMiddle
*,*,38,Low
*,*,43,UpperMiddle
*,*,27,Low
*,*,48,UpperMiddle
*,*,42,LowerMiddle
*,*,49,UpperMiddle
*,*,29,Low
*,*,38,LowerMiddle
*,*,37,Low
*,*,43,Low
*,*,47,High
*,*,27,LowerMiddle
*,*,43,UpperMiddle
*,*,44,LowerMiddle
*,*,52,Low
*,*,51,LowerMiddle
*,*,47,LowerMiddle
*,*,30,Low
*,*,43,LowerMiddle
*,*,41,UpperMiddle
*,*,51,High
*,*,46,High
*,*,53,High
*,*,44,Low
