age,education_num,hours_per_week,income_class
50,12,51,LowerMiddle
30,11,48,UpperMiddle
23,12,35,Low
25,7,31,Low
54,8,46,Low
64,13,36,High
38,9,40,Low
64,10,33,LowerMiddle
38,15,39,High
74,13,28,VeryHigh
59,6,36,LowerMiddle
21,11,27,LowerMiddle
53,12,48,UpperMiddle
23,6,27,Low
56,13,38,VeryHigh
31,12,39,UpperMiddle
52,9,33,LowerMiddle
49,12,41,UpperMiddle
32,12,49,LowerMiddle
48,9,52,UpperMiddle
23,9,41,Low
21,11,39,Low
49,12,47,UpperMiddle
46,10,46,UpperMiddle
41,8,48,UpperMiddle
26,8,42,LowerMiddle
78,11,32,UpperMiddle
73,9,26,LowerMiddle
50,14,46,High
45,11,49,LowerMiddle
48,8,38,LowerMiddle
34,6,54,Low
18,9,18,Low
61,12,26,LowerMiddle
36,10,38,LowerMiddle
35,10,45,Low
36,9,35,Low
51,10,48,Low
69,9,28,UpperMiddle
34,12,41,LowerMiddle
44,10,34,LowerMiddle
31,11,54,Low
46,12,51,High
27,14,43,LowerMiddle
32,10,51,Low
51,11,35,LowerMiddle
33,13,40,LowerMiddle
37,13,41,VeryHigh
23,12,46,LowerMiddle
51,11,51,High
61,8,36,LowerMiddle
35,9,45,LowerMiddle
54,6,42,Low
20,6,28,Low
31,14,46,UpperMiddle
24,11,41,Low
46,10,39,LowerMiddle
59,10,43,LowerMiddle
26,8,33,LowerMiddle
23,8,30,Low
43,11,49,UpperMiddle
33,12,37,LowerMiddle
19,9,39,Low
39,13,47,LowerMiddle
27,6,37,Low
36,12,42,LowerMiddle
27,14,49,High
73,12,35,VeryHigh
26,8,44,Low
18,8,28,Low
50,8,43,LowerMiddle
54,9,54,LowerMiddle
47,7,35,Low
74,11,27,UpperMiddle
41,10,55,LowerMiddle
41,11,40,LowerMiddle
44,12,28,UpperMiddle
67,11,26,LowerMiddle
66,9,29,LowerMiddle
49,9,45,LowerMiddle
61,11,36,UpperMiddle
42,9,42,LowerMiddle
37,11,50,UpperMiddle
58,12,41,High
50,11,44,LowerMiddle
65,11,38,UpperMiddle
61,11,42,High
74,12,31,Extreme
23,9,31,LowerMiddle
61,11,34,UpperMiddle
54,16,43,VeryHigh
75,9,19,LowerMiddle
20,9,36,Low
64,12,45,UpperMiddle
68,10,24,LowerMiddle
79,11,28,LowerMiddle
22,10,30,Low
80,11,18,UpperMiddle
53,12,43,LowerMiddle
57,15,59,VeryHigh
49,13,38,UpperMiddle
28,11,43,Low
51,13,49,High
65,12,42,UpperMiddle
32,14,62,UpperMiddle
38,9,48,UpperMiddle
36,10,41,LowerMiddle
75,12,47,High
21,9,31,Low
62,10,36,LowerMiddle
49,10,52,LowerMiddle
23,9,38,Low
65,9,43,UpperMiddle
25,8,27,Low
62,10,48,UpperMiddle
49,9,42,LowerMiddle
64,13,49,UpperMiddle
20,8,29,Low
62,12,38,LowerMiddle
24,7,37,Low
29,10,43,Low
44,14,47,High
77,9,27,LowerMiddle
45,14,43,UpperMiddle
26,13,44,LowerMiddle
28,11,52,Low
52,11,51,LowerMiddle
34,12,47,LowerMiddle
25,6,30,Low
32,11,43,LowerMiddle
48,13,41,UpperMiddle
44,12,51,High
59,11,46,High
44,12,53,High
31,9,44,Low
39,10,48,LowerMiddle
52,12,40,LowerMiddle
44,11,56,Low
71,10,24,LowerMiddle
32,7,51,Low
49,14,36,LowerMiddle
40,8,38,Low
57,10,44,LowerMiddle
22,10,42,Low
36,10,48,LowerMiddle
63,8,38,LowerMiddle
22,8,30,Low
51,11,36,High
41,13,44,LowerMiddle
62,10,41,High
22,8,28,Low
26,10,37,UpperMiddle
22,8,29,Low
48,9,48,Low
30,11,43,LowerMiddle
39,10,34,LowerMiddle
76,11,14,LowerMiddle
18,11,23,Low
64,11,46,LowerMiddle
22,9,26,Low
28,7,36,LowerMiddle
50,9,39,UpperMiddle
46,10,57,UpperMiddle
67,10,26,LowerMiddle
51,8,27,LowerMiddle
28,9,34,Low
35,10,38,UpperMiddle
59,8,35,UpperMiddle
52,10,47,High
41,8,50,Low
35,7,36,Low
69,13,26,UpperMiddle
34,11,34,LowerMiddle
29,6,48,Low
53,9,45,LowerMiddle
63,11,40,LowerMiddle
38,10,34,LowerMiddle
72,11,24,LowerMiddle
60,11,21,UpperMiddle
55,12,42,High
63,8,42,LowerMiddle
30,10,48,Low
19,10,35,Low
46,8,50,Low
56,11,51,LowerMiddle
34,13,32,UpperMiddle
35,9,47,LowerMiddle
62,12,54,High
41,11,30,LowerMiddle
48,16,59,High
27,12,33,LowerMiddle
48,10,39,LowerMiddle
44,7,35,LowerMiddle
19,10,21,Low
66,11,23,UpperMiddle
46,14,51,VeryHigh
24,13,45,LowerMiddle
56,14,35,VeryHigh
76,12,44,LowerMiddle
36,8,48,LowerMiddle
29,12,47,LowerMiddle
31,10,37,LowerMiddle
44,14,41,High
27,9,33,Low
39,7,38,LowerMiddle
36,7,34,Low
73,9,10,Low
19,11,38,LowerMiddle
45,8,42,LowerMiddle
57,11,39,High
28,8,40,Low
33,13,45,UpperMiddle
25,10,28,Low
51,9,49,UpperMiddle
23,10,38,Low
33,13,45,LowerMiddle
61,12,40,High
43,11,36,LowerMiddle
59,8,40,Low
60,13,49,VeryHigh
52,11,52,UpperMiddle
24,12,35,LowerMiddle
19,9,40,Low
23,8,27,Low
64,14,40,UpperMiddle
38,8,40,Low
46,9,49,LowerMiddle
32,11,50,High
37,6,39,LowerMiddle
32,10,41,LowerMiddle
60,14,59,VeryHigh
46,9,39,Low
50,8,33,Low
58,10,40,UpperMiddle
19,12,33,LowerMiddle
46,10,47,LowerMiddle
32,7,43,Low
52,13,41,High
36,10,47,UpperMiddle
66,11,32,High
26,15,42,UpperMiddle
67,10,18,LowerMiddle
54,8,31,Low
49,13,58,High
65,14,57,VeryHigh
36,11,48,LowerMiddle
44,12,57,High
59,12,37,UpperMiddle
21,11,31,LowerMiddle
63,15,48,Extreme
32,7,36,Low
35,10,36,LowerMiddle
78,12,23,UpperMiddle
54,13,39,LowerMiddle
37,7,39,Low
43,11,51,UpperMiddle
62,11,27,High
22,7,23,Low
46,14,25,High
59,13,39,UpperMiddle
51,14,39,VeryHigh
29,12,45,LowerMiddle
62,12,40,LowerMiddle
31,8,45,Low
30,7,38,Low
42,11,38,UpperMiddle
36,10,41,LowerMiddle
21,7,36,Low
40,11,51,UpperMiddle
25,9,17,Low
58,12,35,UpperMiddle
62,16,48,Extreme
24,10,38,Low
45,12,46,UpperMiddle
54,12,39,UpperMiddle
75,14,34,UpperMiddle
56,10,37,LowerMiddle
44,9,39,LowerMiddle
79,10,29,High
80,9,36,UpperMiddle
49,13,57,High
56,11,51,UpperMiddle
56,8,41,Low
36,12,30,LowerMiddle
59,8,39,LowerMiddle
49,9,47,LowerMiddle
35,11,32,Low
64,8,31,LowerMiddle
44,12,54,LowerMiddle
25,8,30,Low
35,6,44,Low
19,10,41,LowerMiddle
37,12,44,UpperMiddle
48,10,53,UpperMiddle
39,11,41,LowerMiddle
41,8,39,LowerMiddle
22,11,26,Low
68,15,29,High
38,8,41,Low
61,9,38,LowerMiddle
60,10,42,LowerMiddle
49,14,44,UpperMiddle
20,8,39,Low
59,11,37,UpperMiddle
44,10,32,LowerMiddle
58,10,47,LowerMiddle
40,9,49,LowerMiddle
53,12,31,LowerMiddle
77,10,18,LowerMiddle
35,14,55,High
27,9,42,Low
33,13,38,LowerMiddle
62,13,32,High
48,9,43,LowerMiddle
42,13,44,UpperMiddle
23,11,39,LowerMiddle
53,10,39,LowerMiddle
32,10,40,Low
33,12,33,UpperMiddle
56,11,28,High
38,12,48,UpperMiddle
46,12,43,UpperMiddle
59,14,53,UpperMiddle
22,9,33,Low
42,9,32,LowerMiddle
26,12,35,LowerMiddle
33,9,45,LowerMiddle
38,13,39,LowerMiddle
35,10,41,Low
27,8,38,Low
75,12,35,VeryHigh
34,12,39,UpperMiddle
41,14,45,VeryHigh
19,7,21,Low
29,14,44,UpperMiddle
54,11,45,LowerMiddle
54,11,39,UpperMiddle
41,11,43,UpperMiddle
27,11,40,UpperMiddle
44,10,48,High
23,9,29,LowerMiddle
51,10,31,LowerMiddle
60,14,28,UpperMiddle
36,7,35,Low
45,9,32,Low
19,9,38,Low
33,10,32,LowerMiddle
37,8,39,UpperMiddle
34,9,43,Low
79,10,21,High
61,13,44,UpperMiddle
23,10,35,LowerMiddle
44,13,45,UpperMiddle
39,9,39,Low
22,7,23,Low
32,12,25,LowerMiddle
53,10,33,UpperMiddle
52,9,42,UpperMiddle
33,9,28,LowerMiddle
26,10,38,LowerMiddle
63,7,36,Low
43,10,44,LowerMiddle
50,13,45,UpperMiddle
28,9,44,LowerMiddle
19,11,25,Low
24,12,45,UpperMiddle
44,11,53,LowerMiddle
35,10,49,LowerMiddle
77,11,29,UpperMiddle
24,14,39,LowerMiddle
45,11,31,LowerMiddle
33,11,36,LowerMiddle
35,12,30,LowerMiddle
55,10,40,LowerMiddle
37,12,39,UpperMiddle
58,7,34,LowerMiddle
25,11,41,Low
32,11,41,UpperMiddle
38,11,49,LowerMiddle
37,9,40,Low
21,9,43,UpperMiddle
27,13,41,UpperMiddle
72,12,24,UpperMiddle
26,11,36,UpperMiddle
54,11,44,High
59,9,43,LowerMiddle
