n,epsilon,best_r_2way,best_2way_tvd,best_r_3way,best_3way_tvd,r1_2way,r2_2way,better_of_r1_r2_on_2way
3000,0.1,0,0.256422,0,0.38665,0.404878,0.430522,r=1
3000,0.5,0,0.2144,1,0.33035,0.219622,0.264634,r=1
3000,1.0,1,0.181678,1,0.277017,0.181678,0.220489,r=1
3000,2.0,1,0.167167,1,0.257183,0.167167,0.1927,r=1
5000,0.1,0,0.2301,0,0.36391,0.3278,0.375447,r=1
5000,0.5,1,0.1883,1,0.28435,0.1883,0.227973,r=1
5000,1.0,1,0.164673,1,0.25276,0.164673,0.197633,r=1
5000,2.0,1,0.15626,1,0.23676,0.15626,0.169633,r=1
10000,0.1,0,0.21388,0,0.357375,0.258263,0.310147,r=1
10000,0.5,1,0.165804,1,0.25301,0.165804,0.189507,r=1
10000,1.0,1,0.156037,1,0.233855,0.156037,0.162117,r=1
10000,2.0,2,0.150463,2,0.227535,0.1536,0.150463,r=2
