n,r,epsilon,p4_2way_mean,p4_2way_std,p4_3way_mean,p4_3way_std,p3_2way_baseline,p3_3way_baseline,privacy_cost_2way,privacy_cost_3way
3000,0.0,0.1,0.256422,0.016381,0.38665,0.015121,0.210289,0.348817,0.046133,0.037833
3000,0.0,0.5,0.2144,0.006381,0.35445,0.007249,0.210289,0.348817,0.004111,0.005633
3000,0.0,1.0,0.212222,0.005138,0.3525,0.006255,0.210289,0.348817,0.001933,0.003683
3000,0.0,2.0,0.211711,0.004262,0.352017,0.005988,0.210289,0.348817,0.001422,0.0032
3000,1.0,0.1,0.404878,0.028343,0.551017,0.034111,0.156189,0.244,0.248689,0.307017
3000,1.0,0.5,0.219622,0.030243,0.33035,0.030338,0.156189,0.244,0.063434,0.08635
3000,1.0,1.0,0.181678,0.01164,0.277017,0.012616,0.156189,0.244,0.025489,0.033017
3000,1.0,2.0,0.167167,0.004514,0.257183,0.0076,0.156189,0.244,0.010978,0.013183
3000,2.0,0.1,0.430522,0.036969,0.584067,0.036358,0.150133,0.2298,0.280389,0.354266
3000,2.0,0.5,0.264634,0.013862,0.385117,0.018775,0.150133,0.2298,0.1145,0.155316
3000,2.0,1.0,0.220489,0.010248,0.324633,0.014788,0.150133,0.2298,0.070356,0.094833
3000,2.0,2.0,0.1927,0.012845,0.288,0.016937,0.150133,0.2298,0.042567,0.0582
5000,0.0,0.1,0.2301,0.005927,0.36391,0.007731,0.20808,0.346,0.02202,0.01791
5000,0.0,0.5,0.210947,0.00171,0.34926,0.002629,0.20808,0.346,0.002867,0.00326
5000,0.0,1.0,0.20994,0.001377,0.34834,0.00232,0.20808,0.346,0.00186,0.00234
5000,0.0,2.0,0.209553,0.001427,0.34813,0.001533,0.20808,0.346,0.001473,0.00213
5000,1.0,0.1,0.3278,0.013749,0.45674,0.017964,0.151893,0.23142,0.175907,0.22532
5000,1.0,0.5,0.1883,0.018855,0.28435,0.019511,0.151893,0.23142,0.036407,0.05293
5000,1.0,1.0,0.164673,0.005664,0.25276,0.017399,0.151893,0.23142,0.01278,0.02134
5000,1.0,2.0,0.15626,0.002995,0.23676,0.005088,0.151893,0.23142,0.004367,0.00534
5000,2.0,0.1,0.375447,0.036943,0.52354,0.038959,0.14582,0.22041,0.229627,0.30313
5000,2.0,0.5,0.227973,0.007859,0.33332,0.015163,0.14582,0.22041,0.082153,0.11291
5000,2.0,1.0,0.197633,0.012543,0.28945,0.015818,0.14582,0.22041,0.051813,0.06904
5000,2.0,2.0,0.169633,0.009734,0.25311,0.011441,0.14582,0.22041,0.023813,0.0327
10000,0.0,0.1,0.21388,0.006837,0.357375,0.009428,0.20639,0.34741,0.00749,0.009965
10000,0.0,0.5,0.207983,0.003576,0.351675,0.005539,0.20639,0.34741,0.001593,0.004265
10000,0.0,1.0,0.207407,0.002981,0.35115,0.004721,0.20639,0.34741,0.001017,0.00374
10000,0.0,2.0,0.20722,0.002905,0.351035,0.004658,0.20639,0.34741,0.00083,0.003625
10000,1.0,0.1,0.258263,0.02419,0.36993,0.03223,0.152053,0.230165,0.10621,0.139765
10000,1.0,0.5,0.165804,0.007096,0.25301,0.017721,0.152053,0.230165,0.01375,0.022845
10000,1.0,1.0,0.156037,0.001134,0.233855,0.001271,0.152053,0.230165,0.003983,0.00369
10000,1.0,2.0,0.1536,0.001322,0.23152,0.001596,0.152053,0.230165,0.001547,0.001355
10000,2.0,0.1,0.310147,0.032044,0.436135,0.036479,0.142487,0.21519,0.16766,0.220945
10000,2.0,0.5,0.189507,0.008409,0.277775,0.011309,0.142487,0.21519,0.04702,0.062585
10000,2.0,1.0,0.162117,0.004804,0.243475,0.00572,0.142487,0.21519,0.01963,0.028285
10000,2.0,2.0,0.150463,0.003367,0.227535,0.002741,0.142487,0.21519,0.007977,0.012345
