phase,group,method_label,n,runtime_s_mean,runtime_s_std
phase2,k-anonymity,k-anon (k=10),3000,0.513497,
phase2,k-anonymity,k-anon (k=20),3000,0.538597,
phase2,k-anonymity,k-anon (k=5),3000,0.517319,
phase2,l-diversity,l-div (l=2),3000,0.594244,
phase2,l-diversity,l-div (l=3),3000,0.538685,
phase2,l-diversity,l-div (l=4),3000,0.523781,
phase2,t-closeness,t-close (t=0.2),3000,1.022932,
phase2,t-closeness,t-close (t=0.3),3000,1.020244,
phase2,t-closeness,t-close (t=0.4),3000,1.028266,
phase2,k-anonymity,k-anon (k=10),5000,0.572177,
phase2,k-anonymity,k-anon (k=20),5000,0.561554,
phase2,k-anonymity,k-anon (k=5),5000,0.569101,
phase2,l-diversity,l-div (l=2),5000,0.62152,
phase2,l-diversity,l-div (l=3),5000,0.613167,
phase2,l-diversity,l-div (l=4),5000,0.623251,
phase2,t-closeness,t-close (t=0.2),5000,1.162476,
phase2,t-closeness,t-close (t=0.3),5000,1.150881,
phase2,t-closeness,t-close (t=0.4),5000,1.150183,
phase2,k-anonymity,k-anon (k=10),10000,0.861222,
phase2,k-anonymity,k-anon (k=20),10000,0.829552,
phase2,k-anonymity,k-anon (k=5),10000,0.861708,
phase2,l-diversity,l-div (l=2),10000,0.909363,
phase2,l-diversity,l-div (l=3),10000,1.048688,
phase2,l-diversity,l-div (l=4),10000,0.89171,
phase2,t-closeness,t-close (t=0.2),10000,1.497379,
phase2,t-closeness,t-close (t=0.3),10000,1.490334,
phase2,t-closeness,t-close (t=0.4),10000,1.489696,
phase3,non-private PrivBayes,PrivBayes-NP (r=0),3000,0.627679,0.038674
phase3,non-private PrivBayes,PrivBayes-NP (r=1),3000,0.83119,0.113259
phase3,non-private PrivBayes,PrivBayes-NP (r=2),3000,0.971495,0.106246
phase3,non-private PrivBayes,PrivBayes-NP (r=0),5000,0.976383,0.03639
phase3,non-private PrivBayes,PrivBayes-NP (r=1),5000,1.247108,0.059148
phase3,non-private PrivBayes,PrivBayes-NP (r=2),5000,1.424452,0.110454
phase3,non-private PrivBayes,PrivBayes-NP (r=0),10000,1.974268,0.099206
phase3,non-private PrivBayes,PrivBayes-NP (r=1),10000,2.250163,0.129003
phase3,non-private PrivBayes,PrivBayes-NP (r=2),10000,3.011755,0.46798
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.1)",3000,0.007315,0.00057
