phase,group,method_label,n,k,ell,t,r,epsilon,n_seeds,avg_2way_tvd_mean,avg_2way_tvd_std,avg_3way_tvd_mean,avg_3way_tvd_std,runtime_s_mean,runtime_s_std,mi_abs_err_mean,mi_abs_err_std,sa_tvd_mean,sa_tvd_std,extreme_abs_err_mean,extreme_abs_err_std,strict_2way_tvd,strict_3way_tvd
phase2,k-anonymity,k-anon (k=10),3000,10.0,,,,,1,0.250152,,0.363001,,0.513497,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=20),3000,20.0,,,,,1,0.252481,,0.367266,,0.538597,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=5),3000,5.0,,,,,1,0.099353,,0.143732,,0.517319,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=2),3000,,2.0,,,,1,0.250152,,0.363001,,0.594244,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=3),3000,,3.0,,,,1,0.265664,,0.380338,,0.538685,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=4),3000,,4.0,,,,1,0.424361,,0.621986,,0.523781,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.2),3000,,,0.2,,,1,0.552676,,0.738157,,1.022932,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.3),3000,,,0.3,,,1,0.552116,,0.737163,,1.020244,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.4),3000,,,0.4,,,1,0.253356,,0.33625,,1.028266,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=10),5000,10.0,,,,,1,0.098975,,0.145531,,0.572177,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=20),5000,20.0,,,,,1,0.260477,,0.377519,,0.561554,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=5),5000,5.0,,,,,1,0.097665,,0.143355,,0.569101,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=2),5000,,2.0,,,,1,0.09906,,0.14453,,0.62152,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=3),5000,,3.0,,,,1,0.096187,,0.137496,,0.613167,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=4),5000,,4.0,,,,1,0.255122,,0.337275,,0.623251,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.2),5000,,,0.2,,,1,0.556608,,0.73935,,1.162476,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.3),5000,,,0.3,,,1,0.548282,,0.737012,,1.150881,,,,,,,,0.84,1.0
phase2,t-closeness,t-close (t=0.4),5000,,,0.4,,,1,0.222681,,0.310486,,1.150183,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=10),10000,10.0,,,,,1,0.095157,,0.140697,,0.861222,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=20),10000,20.0,,,,,1,0.253431,,0.366741,,0.829552,,,,,,,,1.0,1.0
phase2,k-anonymity,k-anon (k=5),10000,5.0,,,,,1,0.093629,,0.139835,,0.861708,,,,,,,,0.835083,1.0
phase2,l-diversity,l-div (l=2),10000,,2.0,,,,1,0.095301,,0.141095,,0.909363,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=3),10000,,3.0,,,,1,0.093759,,0.133865,,1.048688,,,,,,,,1.0,1.0
phase2,l-diversity,l-div (l=4),10000,,4.0,,,,1,0.219219,,0.311836,,0.89171,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.2),10000,,,0.2,,,1,0.556933,,0.7436,,1.497379,,,,,,,,1.0,1.0
phase2,t-closeness,t-close (t=0.3),10000,,,0.3,,,1,0.552311,,0.742672,,1.490334,,,,,,,,0.834567,1.0
phase2,t-closeness,t-close (t=0.4),10000,,,0.4,,,1,0.224862,,0.314232,,1.489696,,,,,,,,1.0,1.0
phase3,non-private PrivBayes,PrivBayes-NP (r=0),3000,,,,0.0,,5,0.210289,0.002305,0.348817,0.003504,0.627679,0.038674,0.105671,0.000655,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=1),3000,,,,1.0,,5,0.156189,0.001148,0.244,0.002399,0.83119,0.113259,0.020149,0.00309,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=2),3000,,,,2.0,,5,0.150133,0.003199,0.2298,0.003965,0.971495,0.106246,0.009405,0.00531,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=0),5000,,,,0.0,,5,0.20808,0.001838,0.346,0.002005,0.976383,0.03639,0.103206,0.000326,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=1),5000,,,,1.0,,5,0.151893,0.004588,0.23142,0.005474,1.247108,0.059148,0.016477,0.001426,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=2),5000,,,,2.0,,5,0.14582,0.002903,0.22041,0.003454,1.424452,0.110454,0.005035,0.001601,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=0),10000,,,,0.0,,5,0.20639,0.00096,0.34741,0.00243,1.974268,0.099206,0.104535,0.000116,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=1),10000,,,,1.0,,5,0.152053,0.002486,0.230165,0.002626,2.250163,0.129003,0.01297,0.001521,,,,,,
phase3,non-private PrivBayes,PrivBayes-NP (r=2),10000,,,,2.0,,5,0.142487,0.002173,0.21519,0.003218,3.011755,0.46798,0.004085,0.001583,,,,,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.1)",3000,,,,0.0,0.1,5,0.256422,0.016381,0.38665,0.015121,0.007315,0.00057,0.105987,0.000674,0.095067,0.032972,0.023267,0.032677,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.5)",3000,,,,0.0,0.5,5,0.2144,0.006381,0.35445,0.007249,0.008141,0.001181,0.105675,0.000583,0.025666,0.010019,0.005733,0.006504,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=1)",3000,,,,0.0,1.0,5,0.212222,0.005138,0.3525,0.006255,0.008046,0.000299,0.105446,0.000404,0.019867,0.007389,0.003133,0.003132,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=2)",3000,,,,0.0,2.0,5,0.211711,0.004262,0.352017,0.005988,0.007258,0.000418,0.105408,0.000434,0.016267,0.006062,0.002267,0.001786,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.1)",3000,,,,1.0,0.1,5,0.404878,0.028343,0.551017,0.034111,0.175357,0.006886,0.214966,0.060615,0.163267,0.08778,0.0568,0.053802,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.5)",3000,,,,1.0,0.5,5,0.219622,0.030243,0.33035,0.030338,0.17054,0.009108,0.078645,0.014834,0.050467,0.040682,0.0196,0.018646,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=1)",3000,,,,1.0,1.0,5,0.181678,0.01164,0.277017,0.012616,0.161978,0.005639,0.040397,0.012955,0.032667,0.021948,0.010667,0.010099,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=2)",3000,,,,1.0,2.0,5,0.167167,0.004514,0.257183,0.0076,0.171006,0.004153,0.028348,0.011439,0.022933,0.010109,0.005467,0.005546,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.1)",3000,,,,2.0,0.1,5,0.430522,0.036969,0.584067,0.036358,0.300892,0.00768,0.155382,0.024949,0.202733,0.123344,0.075933,0.06363,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.5)",3000,,,,2.0,0.5,5,0.264634,0.013862,0.385117,0.018775,0.300386,0.009594,0.079403,0.016453,0.078133,0.078002,0.0316,0.033894,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=1)",3000,,,,2.0,1.0,5,0.220489,0.010248,0.324633,0.014788,0.29372,0.009121,0.050953,0.009681,0.042067,0.034338,0.021267,0.024132,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=2)",3000,,,,2.0,2.0,5,0.1927,0.012845,0.288,0.016937,0.322781,0.008308,0.031306,0.008393,0.029467,0.017219,0.013333,0.017308,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.1)",5000,,,,0.0,0.1,5,0.2301,0.005927,0.36391,0.007731,0.009475,0.000471,0.103396,0.000308,0.05928,0.019625,0.0152,0.020701,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.5)",5000,,,,0.0,0.5,5,0.210947,0.00171,0.34926,0.002629,0.008942,0.000428,0.103033,0.000276,0.01748,0.005163,0.00372,0.003196,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=1)",5000,,,,0.0,1.0,5,0.20994,0.001377,0.34834,0.00232,0.009297,0.000617,0.103046,0.000179,0.0126,0.005552,0.00236,0.001345,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=2)",5000,,,,0.0,2.0,5,0.209553,0.001427,0.34813,0.001533,0.008966,0.000311,0.102996,0.000275,0.01176,0.005792,0.00128,0.00054,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.1)",5000,,,,1.0,0.1,5,0.3278,0.013749,0.45674,0.017964,0.190972,0.003594,0.163338,0.038366,0.1146,0.073465,0.04416,0.044348,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.5)",5000,,,,1.0,0.5,5,0.1883,0.018855,0.28435,0.019511,0.196872,0.012464,0.058326,0.017149,0.03168,0.029648,0.01336,0.01331,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=1)",5000,,,,1.0,1.0,5,0.164673,0.005664,0.25276,0.017399,0.191793,0.004385,0.036348,0.016462,0.02048,0.015974,0.00664,0.006422,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=2)",5000,,,,1.0,2.0,5,0.15626,0.002995,0.23676,0.005088,0.195418,0.012373,0.019192,0.006093,0.01408,0.007552,0.00308,0.00256,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.1)",5000,,,,2.0,0.1,5,0.375447,0.036943,0.52354,0.038959,0.397648,0.004285,0.127527,0.031482,0.15096,0.107535,0.05864,0.052209,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.5)",5000,,,,2.0,0.5,5,0.227973,0.007859,0.33332,0.015163,0.405365,0.007743,0.05591,0.012643,0.04008,0.036708,0.02096,0.022881,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=1)",5000,,,,2.0,1.0,5,0.197633,0.012543,0.28945,0.015818,0.411242,0.011685,0.032543,0.008991,0.02564,0.020879,0.0128,0.014663,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=2)",5000,,,,2.0,2.0,5,0.169633,0.009734,0.25311,0.011441,0.404795,0.009483,0.018006,0.006532,0.01728,0.011397,0.0072,0.008309,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.1)",10000,,,,0.0,0.1,5,0.21388,0.006837,0.357375,0.009428,0.013018,0.000662,0.104777,0.00017,0.0305,0.008795,0.00846,0.009554,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=0.5)",10000,,,,0.0,0.5,5,0.207983,0.003576,0.351675,0.005539,0.012809,0.000405,0.104723,0.000131,0.01046,0.003307,0.0027,0.001439,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=1)",10000,,,,0.0,1.0,5,0.207407,0.002981,0.35115,0.004721,0.012883,0.000985,0.104731,0.000102,0.00944,0.003668,0.0016,0.000762,,
phase4,private PrivBayes,"PrivBayes-DP (r=0, eps=2)",10000,,,,0.0,2.0,5,0.20722,0.002905,0.351035,0.004658,0.012928,0.000468,0.104675,0.000124,0.0089,0.003704,0.00088,0.000286,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.1)",10000,,,,1.0,0.1,5,0.258263,0.02419,0.36993,0.03223,0.268823,0.015544,0.091884,0.023632,0.06818,0.049436,0.0271,0.02454,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=0.5)",10000,,,,1.0,0.5,5,0.165804,0.007096,0.25301,0.017721,0.257078,0.007388,0.035263,0.016008,0.01566,0.011084,0.0065,0.005453,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=1)",10000,,,,1.0,1.0,5,0.156037,0.001134,0.233855,0.001271,0.260076,0.008051,0.018031,0.004916,0.00986,0.005054,0.00346,0.002798,,
phase4,private PrivBayes,"PrivBayes-DP (r=1, eps=2)",10000,,,,1.0,2.0,5,0.1536,0.001322,0.23152,0.001596,0.262119,0.010627,0.01387,0.00096,0.00776,0.00242,0.00166,0.001522,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.1)",10000,,,,2.0,0.1,5,0.310147,0.032044,0.436135,0.036479,0.673725,0.016371,0.105928,0.027708,0.0941,0.087524,0.03858,0.037239,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=0.5)",10000,,,,2.0,0.5,5,0.189507,0.008409,0.277775,0.011309,0.663402,0.014115,0.029978,0.009831,0.02112,0.019703,0.01306,0.015072,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=1)",10000,,,,2.0,1.0,5,0.162117,0.004804,0.243475,0.00572,0.663498,0.012031,0.015793,0.002969,0.01298,0.009591,0.0073,0.008374,,
phase4,private PrivBayes,"PrivBayes-DP (r=2, eps=2)",10000,,,,2.0,2.0,5,0.150463,0.003367,0.227535,0.002741,0.681599,0.021936,0.009666,0.00316,0.00986,0.005622,0.00446,0.005261,,
