n,var_a,var_b,mutual_information_nats
3000,age,education_num,0.04331699408161362
3000,age,hours_per_week,0.17072593442751746
3000,age,income_class,0.14502836615356426
3000,education_num,hours_per_week,0.033724123548220394
3000,education_num,income_class,0.27552876787648867
3000,hours_per_week,income_class,0.05123983426211705
5000,age,education_num,0.043316422161933356
5000,age,hours_per_week,0.15466441962351873
5000,age,income_class,0.14740202445531145
5000,education_num,hours_per_week,0.02902470339742536
5000,education_num,income_class,0.26775046700589106
5000,hours_per_week,income_class,0.04473852902688786
10000,age,education_num,0.04731502515468956
10000,age,hours_per_week,0.1542397146034221
10000,age,income_class,0.14882881532545839
10000,education_num,hours_per_week,0.02534574976366054
10000,education_num,income_class,0.2641751356795462
10000,hours_per_week,income_class,0.03901050753231781
