dataset,n,method,parameter,age_level,education_num_level,hours_per_week_level,level_loss,numeric_ncp,rows_suppressed
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,1,2,0.416667,0.123409,143
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,3,1,3,0.583333,0.22374,94
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,3,3,0.75,0.28858,119
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,1,3,0.583333,0.22374,94
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,3,3,0.75,0.290257,132
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,4,3,2,0.75,0.474652,68
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,4,4,2,0.833333,0.710145,24
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,4,4,1,0.75,0.68599,11
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,4,3,0.75,0.473027,148
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,1,2,0.416667,0.123581,135
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=10.0,2,1,3,0.5,0.171975,181
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=20.0,3,1,3,0.583333,0.224628,240
simulated_adult_like_n5000_seed0,5000,l_diversity,ell=2.0,2,1,3,0.5,0.1722,207
simulated_adult_like_n5000_seed0,5000,l_diversity,ell=3.0,2,3,3,0.666667,0.236961,184
simulated_adult_like_n5000_seed0,5000,l_diversity,ell=4.0,2,4,2,0.666667,0.424745,204
simulated_adult_like_n5000_seed0,5000,t_closeness,t=0.2,4,4,3,0.916667,0.758454,108
simulated_adult_like_n5000_seed0,5000,t_closeness,t=0.3,4,4,0,0.666667,0.666667,200
simulated_adult_like_n5000_seed0,5000,t_closeness,t=0.4,1,4,3,0.666667,0.446254,228
simulated_adult_like_n10000_seed0,10000,k_anonymity,k=5.0,2,0,2,0.333333,0.090188,292
simulated_adult_like_n10000_seed0,10000,k_anonymity,k=10.0,2,1,2,0.416667,0.123537,348
simulated_adult_like_n10000_seed0,10000,k_anonymity,k=20.0,3,1,2,0.5,0.175209,381
simulated_adult_like_n10000_seed0,10000,l_diversity,ell=2.0,2,1,2,0.416667,0.123534,361
simulated_adult_like_n10000_seed0,10000,l_diversity,ell=3.0,2,3,2,0.583333,0.188715,432
simulated_adult_like_n10000_seed0,10000,l_diversity,ell=4.0,1,4,2,0.583333,0.397876,364
simulated_adult_like_n10000_seed0,10000,t_closeness,t=0.2,4,4,1,0.75,0.68599,402
simulated_adult_like_n10000_seed0,10000,t_closeness,t=0.3,4,4,0,0.666667,0.666667,74
simulated_adult_like_n10000_seed0,10000,t_closeness,t=0.4,1,4,3,0.666667,0.446168,451
