dataset,n,method,parameter,marginal_order,attributes,metric_type,tvd
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|education_num,midpoint_binned_tvd,0.139412
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|hours_per_week,midpoint_binned_tvd,0.171013
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,age|income_class,midpoint_binned_tvd,0.160759
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.055776
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,education_num|income_class,midpoint_binned_tvd,0.015398
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.05376
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.173047
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|education_num|income_class,midpoint_binned_tvd,0.165426
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.180197
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.056259
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,avg_2way,ALL,midpoint_binned_tvd,0.099353
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=5.0,avg_3way,ALL,midpoint_binned_tvd,0.143732
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,2,age|education_num,midpoint_binned_tvd,0.461234
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,2,age|hours_per_week,midpoint_binned_tvd,0.470437
