dataset,n,method,parameter_name,parameter_value,k,ell,t,feasible,infeasible_reason,output_path,runtime_seconds,age_level,education_num_level,hours_per_week_level,num_fully_suppressed_qis,selection_score,num_equivalence_classes,min_class_size,max_class_size,min_distinct_sa,max_class_tvd,rows_in,rows_out,rows_suppressed,cell_suppression_used,row_suppression_used
simulated_adult_like_n3000_seed0,3000,k_anonymity,k,5.0,5,,,True,,data/anonymized/simulated_adult_like_n3000_seed0_kanon_k5.csv,0.517319,2,1,2,0,loss=0.165193;n4=0;maxlvl=2;sumlvl=5;suppressed=143;nclasses=96,96,5,137,1,0.8630000000000001,3000,2857,143,False,True
simulated_adult_like_n3000_seed0,3000,k_anonymity,k,10.0,10,,,True,,data/anonymized/simulated_adult_like_n3000_seed0_kanon_k10.csv,0.513497,3,1,3,0,loss=0.248063;n4=0;maxlvl=3;sumlvl=7;suppressed=94;nclasses=35,35,10,289,2,0.7975000000000001,3000,2906,94,False,True
simulated_adult_like_n3000_seed0,3000,k_anonymity,k,20.0,20,,,True,,data/anonymized/simulated_adult_like_n3000_seed0_kanon_k20.csv,0.538597,3,3,3,0,loss=0.316799;n4=0;maxlvl=3;sumlvl=9;suppressed=119;nclasses=18,18,22,503,2,0.7,3000,2881,119,False,True
simulated_adult_like_n3000_seed0,3000,l_diversity,ell,2.0,10,2,,True,,data/anonymized/simulated_adult_like_n3000_seed0_ldiv_k10_l2.csv,0.594244,3,1,3,0,loss=0.248063;n4=0;maxlvl=3;sumlvl=7;suppressed=94;nclasses=35,35,10,289,2,0.7975000000000001,3000,2906,94,False,True
simulated_adult_like_n3000_seed0,3000,l_diversity,ell,3.0,10,3,,True,,data/anonymized/simulated_adult_like_n3000_seed0_ldiv_k10_l3.csv,0.538685,3,3,3,0,loss=0.321485;n4=0;maxlvl=3;sumlvl=9;suppressed=132;nclasses=20,20,14,503,3,0.8011764705882353,3000,2868,132,False,True
simulated_adult_like_n3000_seed0,3000,l_diversity,ell,4.0,10,4,,True,,data/anonymized/simulated_adult_like_n3000_seed0_ldiv_k10_l4.csv,0.523781,4,3,2,1,loss=0.486559;n4=1;maxlvl=4;sumlvl=9;suppressed=68;nclasses=11,11,52,805,4,0.686923076923077,3000,2932,68,False,True
simulated_adult_like_n3000_seed0,3000,t_closeness,t,0.2,10,,0.2,True,,data/anonymized/simulated_adult_like_n3000_seed0_tclose_k10_t0p2.csv,1.022932,4,4,2,2,loss=0.712464;n4=2;maxlvl=4;sumlvl=10;suppressed=24;nclasses=5,5,34,1231,4,0.17808383233532932,3000,2976,24,False,True
simulated_adult_like_n3000_seed0,3000,t_closeness,t,0.3,10,,0.3,True,,data/anonymized/simulated_adult_like_n3000_seed0_tclose_k10_t0p3.csv,1.020244,4,4,1,2,loss=0.687142;n4=2;maxlvl=4;sumlvl=9;suppressed=11;nclasses=10,10,21,672,4,0.2896666666666667,3000,2989,11,False,True
simulated_adult_like_n3000_seed0,3000,t_closeness,t,0.4,10,,0.4,True,,data/anonymized/simulated_adult_like_n3000_seed0_tclose_k10_t0p4.csv,1.028266,2,4,3,1,loss=0.499024;n4=1;maxlvl=4;sumlvl=9;suppressed=148;nclasses=14,14,10,484,3,0.3465984654731458,3000,2852,148,False,True
simulated_adult_like_n5000_seed0,5000,k_anonymity,k,5.0,5,,,True,,data/anonymized/simulated_adult_like_n5000_seed0_kanon_k5.csv,0.569101,2,1,2,0,loss=0.147244;n4=0;maxlvl=2;sumlvl=5;suppressed=135;nclasses=115,115,5,226,1,0.763,5000,4865,135,False,True
simulated_adult_like_n5000_seed0,5000,k_anonymity,k,10.0,10,,,True,,data/anonymized/simulated_adult_like_n5000_seed0_kanon_k10.csv,0.572177,2,1,3,0,loss=0.201950;n4=0;maxlvl=3;sumlvl=6;suppressed=181;nclasses=61,61,10,297,1,0.7201428571428571,5000,4819,181,False,True
simulated_adult_like_n5000_seed0,5000,k_anonymity,k,20.0,20,,,True,,data/anonymized/simulated_adult_like_n5000_seed0_kanon_k20.csv,0.561554,3,1,3,0,loss=0.261846;n4=0;maxlvl=3;sumlvl=7;suppressed=240;nclasses=31,31,21,452,1,0.72,5000,4760,240,False,True
