n,r,seed,avg_2way_tvd,avg_3way_tvd,avg_2way_tvd_mean_by_nr,avg_3way_tvd_mean_by_nr
3000,0,0,0.2105,0.35,0.210289,0.348817
3000,0,1,0.208167,0.348667,0.210289,0.348817
3000,0,2,0.211944,0.344167,0.210289,0.348817
3000,0,3,0.213056,0.35375,0.210289,0.348817
3000,0,4,0.207778,0.3475,0.210289,0.348817
3000,1,0,0.156833,0.24425,0.156189,0.244
3000,1,1,0.156833,0.241083,0.156189,0.244
3000,1,2,0.155611,0.243,0.156189,0.244
3000,1,3,0.154444,0.244,0.156189,0.244
3000,1,4,0.157222,0.247667,0.156189,0.244
3000,2,0,0.146778,0.226917,0.150133,0.2298
3000,2,1,0.152556,0.232,0.150133,0.2298
3000,2,2,0.1465,0.224417,0.150133,0.2298
3000,2,3,0.152111,0.233917,0.150133,0.2298
3000,2,4,0.152722,0.23175,0.150133,0.2298
5000,0,0,0.2076,0.34815,0.20808,0.346
5000,0,1,0.2075,0.3456,0.20808,0.346
5000,0,2,0.210467,0.3429,0.20808,0.346
5000,0,3,0.2092,0.3473,0.20808,0.346
5000,0,4,0.205633,0.34605,0.20808,0.346
5000,1,0,0.1462,0.22255,0.151893,0.23142
5000,1,1,0.157067,0.23625,0.151893,0.23142
5000,1,2,0.1526,0.23045,0.151893,0.23142
5000,1,3,0.1483,0.23245,0.151893,0.23142
5000,1,4,0.1553,0.2354,0.151893,0.23142
5000,2,0,0.142,0.2174,0.14582,0.22041
5000,2,1,0.1477,0.21965,0.14582,0.22041
5000,2,2,0.143933,0.21745,0.14582,0.22041
5000,2,3,0.149267,0.2256,0.14582,0.22041
5000,2,4,0.1462,0.22195,0.14582,0.22041
10000,0,0,0.205417,0.348775,0.20639,0.34741
10000,0,1,0.205567,0.348,0.20639,0.34741
10000,0,2,0.20625,0.34335,0.20639,0.34741
10000,0,3,0.20765,0.349625,0.20639,0.34741
10000,0,4,0.207067,0.3473,0.20639,0.34741
10000,1,0,0.152283,0.226975,0.152053,0.230165
10000,1,1,0.152583,0.2307,0.152053,0.230165
10000,1,2,0.154717,0.233675,0.152053,0.230165
10000,1,3,0.14795,0.22825,0.152053,0.230165
10000,1,4,0.152733,0.231225,0.152053,0.230165
10000,2,0,0.143033,0.213275,0.142487,0.21519
10000,2,1,0.144917,0.219725,0.142487,0.21519
10000,2,2,0.14085,0.214875,0.142487,0.21519
10000,2,3,0.139683,0.21135,0.142487,0.21519
10000,2,4,0.14395,0.216725,0.142487,0.21519
