n,r,seed,var_a,var_b,raw_mi_nats,synthetic_mi_nats,abs_mi_error_nats
3000,0,0,age,education_num,0.041517,0.009869,0.031648
3000,0,0,age,hours_per_week,0.131864,0.004338,0.127526
3000,0,0,age,income_class,0.129583,0.003713,0.12587
3000,0,0,education_num,hours_per_week,0.03584,0.010598,0.025242
3000,0,0,education_num,income_class,0.286015,0.009598,0.276417
3000,0,0,hours_per_week,income_class,0.045989,0.00329,0.042698
3000,0,1,age,education_num,0.041517,0.007881,0.033636
3000,0,1,age,hours_per_week,0.131864,0.003222,0.128642
3000,0,1,age,income_class,0.129583,0.005498,0.124085
3000,0,1,education_num,hours_per_week,0.03584,0.008164,0.027676
3000,0,1,education_num,income_class,0.286015,0.009462,0.276552
3000,0,1,hours_per_week,income_class,0.045989,0.003601,0.042388
3000,0,2,age,education_num,0.041517,0.009967,0.03155
3000,0,2,age,hours_per_week,0.131864,0.006386,0.125478
3000,0,2,age,income_class,0.129583,0.003859,0.125724
3000,0,2,education_num,hours_per_week,0.03584,0.007861,0.027979
3000,0,2,education_num,income_class,0.286015,0.005543,0.280472
3000,0,2,hours_per_week,income_class,0.045989,0.005563,0.040426
3000,0,3,age,education_num,0.041517,0.008707,0.03281
3000,0,3,age,hours_per_week,0.131864,0.003548,0.128316
3000,0,3,age,income_class,0.129583,0.002284,0.127299
3000,0,3,education_num,hours_per_week,0.03584,0.006353,0.029487
3000,0,3,education_num,income_class,0.286015,0.008338,0.277676
3000,0,3,hours_per_week,income_class,0.045989,0.004243,0.041746
3000,0,4,age,education_num,0.041517,0.006907,0.03461
3000,0,4,age,hours_per_week,0.131864,0.003153,0.128711
3000,0,4,age,income_class,0.129583,0.002698,0.126885
3000,0,4,education_num,hours_per_week,0.03584,0.009442,0.026398
3000,0,4,education_num,income_class,0.286015,0.007894,0.27812
3000,0,4,hours_per_week,income_class,0.045989,0.001928,0.044061
3000,1,0,age,education_num,0.041517,0.061776,0.020259
3000,1,0,age,hours_per_week,0.131864,0.158176,0.026312
3000,1,0,age,income_class,0.129583,0.156081,0.026498
3000,1,0,education_num,hours_per_week,0.03584,0.009138,0.026702
3000,1,0,education_num,income_class,0.286015,0.284956,0.001059
3000,1,0,hours_per_week,income_class,0.045989,0.008816,0.037173
3000,1,1,age,education_num,0.041517,0.067528,0.026011
3000,1,1,age,hours_per_week,0.131864,0.140303,0.008439
3000,1,1,age,income_class,0.129583,0.142511,0.012928
3000,1,1,education_num,hours_per_week,0.03584,0.008955,0.026885
3000,1,1,education_num,income_class,0.286015,0.313117,0.027102
