n,r,seed,discretization_time_s,structure_learning_time_s,cpt_fitting_time_s,sampling_time_s,total_time_s,output_path
3000,0,0,0.023193,0.000177,0.017787,0.588215,0.629372,data/synthetic/nonprivate/privbayes_np_n3000_r0_seed0.csv
3000,0,1,0.016109,0.000123,0.013149,0.580855,0.610236,data/synthetic/nonprivate/privbayes_np_n3000_r0_seed1.csv
3000,0,2,0.027548,0.000114,0.022649,0.608842,0.659153,data/synthetic/nonprivate/privbayes_np_n3000_r0_seed2.csv
3000,0,3,0.036643,0.000139,0.020574,0.610215,0.667573,data/synthetic/nonprivate/privbayes_np_n3000_r0_seed3.csv
3000,0,4,0.013736,9.3e-05,0.009336,0.548894,0.57206,data/synthetic/nonprivate/privbayes_np_n3000_r0_seed4.csv
3000,1,0,0.015487,0.177236,0.015685,0.732397,0.940804,data/synthetic/nonprivate/privbayes_np_n3000_r1_seed0.csv
3000,1,1,0.020438,0.163207,0.017762,0.618159,0.819565,data/synthetic/nonprivate/privbayes_np_n3000_r1_seed1.csv
3000,1,2,0.014494,0.145065,0.020694,0.473016,0.65327,data/synthetic/nonprivate/privbayes_np_n3000_r1_seed2.csv
3000,1,3,0.018443,0.182735,0.032497,0.591057,0.824732,data/synthetic/nonprivate/privbayes_np_n3000_r1_seed3.csv
3000,1,4,0.015469,0.169202,0.019237,0.713671,0.91758,data/synthetic/nonprivate/privbayes_np_n3000_r1_seed4.csv
3000,2,0,0.020353,0.376241,0.022151,0.5303,0.949045,data/synthetic/nonprivate/privbayes_np_n3000_r2_seed0.csv
3000,2,1,0.017104,0.319179,0.020474,0.575604,0.93236,data/synthetic/nonprivate/privbayes_np_n3000_r2_seed1.csv
3000,2,2,0.016358,0.390018,0.026249,0.525407,0.958031,data/synthetic/nonprivate/privbayes_np_n3000_r2_seed2.csv
3000,2,3,0.018298,0.289198,0.02344,0.536449,0.867386,data/synthetic/nonprivate/privbayes_np_n3000_r2_seed3.csv
3000,2,4,0.028172,0.391549,0.024825,0.706106,1.150653,data/synthetic/nonprivate/privbayes_np_n3000_r2_seed4.csv
5000,0,0,0.024489,0.000116,0.020853,0.878542,0.924,data/synthetic/nonprivate/privbayes_np_n5000_r0_seed0.csv
5000,0,1,0.021042,0.000114,0.013852,0.942693,0.9777,data/synthetic/nonprivate/privbayes_np_n5000_r0_seed1.csv
5000,0,2,0.020924,0.000127,0.012257,0.938981,0.972288,data/synthetic/nonprivate/privbayes_np_n5000_r0_seed2.csv
5000,0,3,0.019363,0.000144,0.01498,0.991982,1.026469,data/synthetic/nonprivate/privbayes_np_n5000_r0_seed3.csv
5000,0,4,0.020114,0.000131,0.012118,0.949094,0.981456,data/synthetic/nonprivate/privbayes_np_n5000_r0_seed4.csv
5000,1,0,0.048948,0.232826,0.01938,0.984219,1.285374,data/synthetic/nonprivate/privbayes_np_n5000_r1_seed0.csv
5000,1,1,0.02262,0.205467,0.027931,1.029631,1.28565,data/synthetic/nonprivate/privbayes_np_n5000_r1_seed1.csv
5000,1,2,0.032109,0.156522,0.016992,0.93829,1.143912,data/synthetic/nonprivate/privbayes_np_n5000_r1_seed2.csv
5000,1,3,0.029066,0.200077,0.025188,1.001149,1.25548,data/synthetic/nonprivate/privbayes_np_n5000_r1_seed3.csv
5000,1,4,0.023919,0.164498,0.035537,1.041168,1.265122,data/synthetic/nonprivate/privbayes_np_n5000_r1_seed4.csv
5000,2,0,0.020828,0.4244,0.0276,0.938172,1.411001,data/synthetic/nonprivate/privbayes_np_n5000_r2_seed0.csv
5000,2,1,0.021126,0.384597,0.022095,0.903523,1.331341,data/synthetic/nonprivate/privbayes_np_n5000_r2_seed1.csv
5000,2,2,0.020087,0.506012,0.033892,1.055138,1.615128,data/synthetic/nonprivate/privbayes_np_n5000_r2_seed2.csv
5000,2,3,0.028077,0.406683,0.026635,0.915756,1.37715,data/synthetic/nonprivate/privbayes_np_n5000_r2_seed3.csv
5000,2,4,0.028362,0.42487,0.025585,0.908821,1.387639,data/synthetic/nonprivate/privbayes_np_n5000_r2_seed4.csv
10000,0,0,0.056627,0.00017,0.022782,2.028882,2.108461,data/synthetic/nonprivate/privbayes_np_n10000_r0_seed0.csv
10000,0,1,0.036581,0.000149,0.021502,1.856587,1.914819,data/synthetic/nonprivate/privbayes_np_n10000_r0_seed1.csv
10000,0,2,0.036546,0.000106,0.023512,1.934296,1.99446,data/synthetic/nonprivate/privbayes_np_n10000_r0_seed2.csv
10000,0,3,0.030953,0.000109,0.01583,1.799562,1.846454,data/synthetic/nonprivate/privbayes_np_n10000_r0_seed3.csv
10000,0,4,0.035874,0.000115,0.017324,1.953833,2.007146,data/synthetic/nonprivate/privbayes_np_n10000_r0_seed4.csv
10000,1,0,0.041664,0.192833,0.026578,1.895516,2.156591,data/synthetic/nonprivate/privbayes_np_n10000_r1_seed0.csv
10000,1,1,0.041931,0.307025,0.041208,2.059294,2.449456,data/synthetic/nonprivate/privbayes_np_n10000_r1_seed1.csv
10000,1,2,0.035558,0.193217,0.024843,1.878194,2.131813,data/synthetic/nonprivate/privbayes_np_n10000_r1_seed2.csv
10000,1,3,0.07154,0.19884,0.023903,2.006956,2.301239,data/synthetic/nonprivate/privbayes_np_n10000_r1_seed3.csv
10000,1,4,0.040977,0.221573,0.036573,1.912595,2.211718,data/synthetic/nonprivate/privbayes_np_n10000_r1_seed4.csv
10000,2,0,0.040353,0.624352,0.029257,1.986395,2.680356,data/synthetic/nonprivate/privbayes_np_n10000_r2_seed0.csv
10000,2,1,0.060623,0.809104,0.0464,1.887488,2.803615,data/synthetic/nonprivate/privbayes_np_n10000_r2_seed1.csv
10000,2,2,0.045774,0.67706,0.032757,2.944222,3.699814,data/synthetic/nonprivate/privbayes_np_n10000_r2_seed2.csv
10000,2,3,0.045917,0.701292,0.038584,2.496966,3.28276,data/synthetic/nonprivate/privbayes_np_n10000_r2_seed3.csv
10000,2,4,0.036497,0.651718,0.03105,1.872963,2.592228,data/synthetic/nonprivate/privbayes_np_n10000_r2_seed4.csv
