n,r,epsilon,seed,avg_2way_tvd,avg_3way_tvd,avg_2way_tvd_mean,avg_3way_tvd_mean,avg_2way_tvd_std,avg_3way_tvd_std,sa_tvd,extreme_abs_error
3000,0,0.1,0,0.240111,0.366,0.256422,0.38665,0.014652,0.013524,0.116667,0.017333
3000,0,0.1,1,0.249778,0.37925,0.256422,0.38665,0.014652,0.013524,0.133333,0.012333
3000,0,0.1,2,0.276667,0.403917,0.256422,0.38665,0.014652,0.013524,0.082,0.003
3000,0,0.1,3,0.244556,0.385833,0.256422,0.38665,0.014652,0.013524,0.047667,0.003
3000,0,0.1,4,0.271,0.39825,0.256422,0.38665,0.014652,0.013524,0.095667,0.080667
3000,0,0.5,0,0.206222,0.342417,0.2144,0.35445,0.005707,0.006483,0.013,0.003333
3000,0,0.5,1,0.212056,0.352917,0.2144,0.35445,0.005707,0.006483,0.037333,0.002
3000,0,0.5,2,0.221889,0.35825,0.2144,0.35445,0.005707,0.006483,0.034333,0.003
3000,0,0.5,3,0.212056,0.358667,0.2144,0.35445,0.005707,0.006483,0.022333,0.003
3000,0,0.5,4,0.219778,0.36,0.2144,0.35445,0.005707,0.006483,0.021333,0.017333
3000,0,1.0,0,0.2055,0.34275,0.212222,0.3525,0.004596,0.005595,0.010333,0.000667
3000,0,1.0,1,0.211444,0.350083,0.212222,0.3525,0.004596,0.005595,0.025667,0.000667
3000,0,1.0,2,0.217611,0.35575,0.212222,0.3525,0.004596,0.005595,0.028,0.003
3000,0,1.0,3,0.2095,0.355333,0.212222,0.3525,0.004596,0.005595,0.020667,0.003
3000,0,1.0,4,0.217056,0.358583,0.212222,0.3525,0.004596,0.005595,0.014667,0.008333
3000,0,2.0,0,0.205389,0.34225,0.211711,0.352017,0.003812,0.005356,0.01,0.000667
3000,0,2.0,1,0.212889,0.351167,0.211711,0.352017,0.003812,0.005356,0.019333,0.000667
3000,0,2.0,2,0.215333,0.354,0.211711,0.352017,0.003812,0.005356,0.023667,0.002667
3000,0,2.0,3,0.209556,0.354583,0.211711,0.352017,0.003812,0.005356,0.018333,0.002333
3000,0,2.0,4,0.215389,0.358083,0.211711,0.352017,0.003812,0.005356,0.01,0.005
3000,1,0.1,0,0.398889,0.531,0.404878,0.551017,0.025351,0.03051,0.084,0.075667
3000,1,0.1,1,0.436,0.582667,0.404878,0.551017,0.025351,0.03051,0.308,0.139667
3000,1,0.1,2,0.4245,0.579667,0.404878,0.551017,0.025351,0.03051,0.148333,0.020333
3000,1,0.1,3,0.402778,0.559333,0.404878,0.551017,0.025351,0.03051,0.105667,0.003
3000,1,0.1,4,0.362222,0.502417,0.404878,0.551017,0.025351,0.03051,0.170333,0.045333
3000,1,0.5,0,0.180556,0.293917,0.219622,0.33035,0.02705,0.027135,0.034667,0.019667
3000,1,0.5,1,0.24,0.343167,0.219622,0.33035,0.02705,0.027135,0.120667,0.049
3000,1,0.5,2,0.255389,0.367917,0.219622,0.33035,0.02705,0.027135,0.030333,0.004
3000,1,0.5,3,0.199,0.304917,0.219622,0.33035,0.02705,0.027135,0.018333,0.003
3000,1,0.5,4,0.223167,0.341833,0.219622,0.33035,0.02705,0.027135,0.048333,0.022333
3000,1,1.0,0,0.166389,0.264833,0.181678,0.277017,0.010411,0.011284,0.023333,0.01
3000,1,1.0,1,0.1985,0.297583,0.181678,0.277017,0.010411,0.011284,0.07,0.027
3000,1,1.0,2,0.183889,0.276167,0.181678,0.277017,0.010411,0.011284,0.021667,0.001667
3000,1,1.0,3,0.177222,0.2775,0.181678,0.277017,0.010411,0.011284,0.014667,0.003
3000,1,1.0,4,0.182389,0.269,0.181678,0.277017,0.010411,0.011284,0.033667,0.011667
3000,1,2.0,0,0.161444,0.256417,0.167167,0.257183,0.004038,0.006798,0.019333,0.005333
3000,1,2.0,1,0.168222,0.250167,0.167167,0.257183,0.004038,0.006798,0.040333,0.015
3000,1,2.0,2,0.173889,0.269833,0.167167,0.257183,0.004038,0.006798,0.022,0.001
3000,1,2.0,3,0.166556,0.256917,0.167167,0.257183,0.004038,0.006798,0.014333,0.003
3000,1,2.0,4,0.165722,0.252583,0.167167,0.257183,0.004038,0.006798,0.018667,0.003
3000,2,0.1,0,0.485167,0.6345,0.430522,0.584067,0.033066,0.032519,0.088,0.077333
3000,2,0.1,1,0.430111,0.563,0.430522,0.584067,0.033066,0.032519,0.312333,0.141667
3000,2,0.1,2,0.429,0.60275,0.430522,0.584067,0.033066,0.032519,0.147667,0.021667
3000,2,0.1,3,0.4275,0.58,0.430522,0.584067,0.033066,0.032519,0.108667,0.003
3000,2,0.1,4,0.380833,0.540083,0.430522,0.584067,0.033066,0.032519,0.357,0.136
3000,2,0.5,0,0.267056,0.3895,0.264634,0.385117,0.012399,0.016793,0.028,0.019
3000,2,0.5,1,0.248667,0.358333,0.264634,0.385117,0.012399,0.016793,0.114667,0.048
3000,2,0.5,2,0.286389,0.410667,0.264634,0.385117,0.012399,0.016793,0.026667,0.005
3000,2,0.5,3,0.261167,0.38075,0.264634,0.385117,0.012399,0.016793,0.022,0.003
3000,2,0.5,4,0.259889,0.386333,0.264634,0.385117,0.012399,0.016793,0.199333,0.083
3000,2,1.0,0,0.231722,0.341833,0.220489,0.324633,0.009166,0.013227,0.021333,0.010667
3000,2,1.0,1,0.211556,0.3115,0.220489,0.324633,0.009166,0.013227,0.081,0.030667
3000,2,1.0,2,0.231611,0.338917,0.220489,0.324633,0.009166,0.013227,0.012333,0.002667
3000,2,1.0,3,0.214167,0.319583,0.220489,0.324633,0.009166,0.013227,0.017667,0.003
3000,2,1.0,4,0.213389,0.311333,0.220489,0.324633,0.009166,0.013227,0.078,0.059333
3000,2,2.0,0,0.199667,0.3025,0.1927,0.288,0.011489,0.015149,0.018333,0.005667
3000,2,2.0,1,0.180833,0.274917,0.1927,0.288,0.011489,0.015149,0.046667,0.014
3000,2,2.0,2,0.190056,0.281083,0.1927,0.288,0.011489,0.015149,0.011333,0.001
3000,2,2.0,3,0.211222,0.3095,0.1927,0.288,0.011489,0.015149,0.022,0.003
3000,2,2.0,4,0.181722,0.272,0.1927,0.288,0.011489,0.015149,0.049,0.043
5000,0,0.1,0,0.224033,0.35365,0.2301,0.36391,0.005301,0.006915,0.0754,0.0102
5000,0,0.1,1,0.2284,0.36145,0.2301,0.36391,0.005301,0.006915,0.0778,0.008
5000,0,0.1,2,0.234733,0.3683,0.2301,0.36391,0.005301,0.006915,0.0498,0.003
5000,0,0.1,3,0.225567,0.362,0.2301,0.36391,0.005301,0.006915,0.0304,0.003
5000,0,0.1,4,0.237767,0.37415,0.2301,0.36391,0.005301,0.006915,0.063,0.0518
5000,0,0.5,0,0.209033,0.3454,0.210947,0.34926,0.001529,0.002351,0.0106,0.0026
5000,0,0.5,1,0.211167,0.3508,0.210947,0.34926,0.001529,0.002351,0.0164,0.0008
5000,0,0.5,2,0.210267,0.34815,0.210947,0.34926,0.001529,0.002351,0.0212,0.003
5000,0,0.5,3,0.213667,0.3497,0.210947,0.34926,0.001529,0.002351,0.0154,0.003
5000,0,0.5,4,0.2106,0.35225,0.210947,0.34926,0.001529,0.002351,0.0238,0.0092
5000,0,1.0,0,0.208833,0.3456,0.20994,0.34834,0.001232,0.002075,0.0034,0.0018
5000,0,1.0,1,0.210833,0.3507,0.20994,0.34834,0.001232,0.002075,0.0118,0.0006
5000,0,1.0,2,0.2091,0.3464,0.20994,0.34834,0.001232,0.002075,0.0176,0.003
5000,0,1.0,3,0.211933,0.3485,0.20994,0.34834,0.001232,0.002075,0.0146,0.0022
5000,0,1.0,4,0.209,0.3505,0.20994,0.34834,0.001232,0.002075,0.0156,0.0042
5000,0,2.0,0,0.2089,0.347,0.209553,0.34813,0.001276,0.001371,0.0018,0.0012
5000,0,2.0,1,0.2106,0.35015,0.209553,0.34813,0.001276,0.001371,0.012,0.0006
5000,0,2.0,2,0.2086,0.34645,0.209553,0.34813,0.001276,0.001371,0.0162,0.0016
5000,0,2.0,3,0.2115,0.34785,0.209553,0.34813,0.001276,0.001371,0.0136,0.001
5000,0,2.0,4,0.208167,0.3492,0.209553,0.34813,0.001276,0.001371,0.0152,0.002
5000,1,0.1,0,0.3321,0.45265,0.3278,0.45674,0.012297,0.016068,0.0602,0.0532
5000,1,0.1,1,0.347167,0.4839,0.3278,0.45674,0.012297,0.016068,0.2386,0.1154
5000,1,0.1,2,0.328067,0.44395,0.3278,0.45674,0.012297,0.016068,0.0926,0.0134
5000,1,0.1,3,0.322,0.46425,0.3278,0.45674,0.012297,0.016068,0.0622,0.003
5000,1,0.1,4,0.309667,0.43895,0.3278,0.45674,0.012297,0.016068,0.1194,0.0358
5000,1,0.5,0,0.165333,0.2549,0.1883,0.28435,0.016865,0.017452,0.013,0.012
5000,1,0.5,1,0.1969,0.29355,0.1883,0.28435,0.016865,0.017452,0.081,0.035
5000,1,0.5,2,0.199667,0.2947,0.1883,0.28435,0.016865,0.017452,0.0122,0.002
5000,1,0.5,3,0.171267,0.2749,0.1883,0.28435,0.016865,0.017452,0.014,0.003
5000,1,0.5,4,0.208333,0.3037,0.1883,0.28435,0.016865,0.017452,0.0382,0.0148
5000,1,1.0,0,0.161067,0.2446,0.164673,0.25276,0.005066,0.015563,0.0084,0.0066
5000,1,1.0,1,0.164067,0.2415,0.164673,0.25276,0.005066,0.015563,0.0478,0.0176
5000,1,1.0,2,0.171767,0.27625,0.164673,0.25276,0.005066,0.015563,0.012,0.0014
5000,1,1.0,3,0.168733,0.26585,0.164673,0.25276,0.005066,0.015563,0.013,0.003
5000,1,1.0,4,0.157733,0.2356,0.164673,0.25276,0.005066,0.015563,0.0212,0.0046
5000,1,2.0,0,0.1581,0.2407,0.15626,0.23676,0.002679,0.004551,0.0054,0.0036
5000,1,2.0,1,0.1549,0.23595,0.15626,0.23676,0.002679,0.004551,0.0256,0.0072
5000,1,2.0,2,0.1603,0.24265,0.15626,0.23676,0.002679,0.004551,0.0154,0.0008
5000,1,2.0,3,0.155433,0.2347,0.15626,0.23676,0.002679,0.004551,0.0142,0.0026
5000,1,2.0,4,0.152567,0.2298,0.15626,0.23676,0.002679,0.004551,0.0098,0.0012
5000,2,0.1,0,0.4341,0.58185,0.375447,0.52354,0.033043,0.034846,0.0614,0.0532
5000,2,0.1,1,0.364833,0.49425,0.375447,0.52354,0.033043,0.034846,0.2442,0.1122
5000,2,0.1,2,0.3708,0.5419,0.375447,0.52354,0.033043,0.034846,0.0934,0.013
5000,2,0.1,3,0.375467,0.51315,0.375447,0.52354,0.033043,0.034846,0.0666,0.003
5000,2,0.1,4,0.332033,0.48655,0.375447,0.52354,0.033043,0.034846,0.2892,0.1118
5000,2,0.5,0,0.2335,0.34465,0.227973,0.33332,0.007029,0.013562,0.0154,0.0118
5000,2,0.5,1,0.220733,0.3214,0.227973,0.33332,0.007029,0.013562,0.0828,0.032
5000,2,0.5,2,0.238867,0.35325,0.227973,0.33332,0.007029,0.013562,0.0108,0.0022
5000,2,0.5,3,0.224667,0.32935,0.227973,0.33332,0.007029,0.013562,0.0138,0.003
5000,2,0.5,4,0.2221,0.31795,0.227973,0.33332,0.007029,0.013562,0.0776,0.0558
5000,2,1.0,0,0.1985,0.2972,0.197633,0.28945,0.011219,0.014148,0.0108,0.0062
5000,2,1.0,1,0.184833,0.2757,0.197633,0.28945,0.011219,0.014148,0.0528,0.0166
5000,2,1.0,2,0.204333,0.29405,0.197633,0.28945,0.011219,0.014148,0.0076,0.0014
5000,2,1.0,3,0.2145,0.30925,0.197633,0.28945,0.011219,0.014148,0.0136,0.003
5000,2,1.0,4,0.186,0.27105,0.197633,0.28945,0.011219,0.014148,0.0434,0.0368
5000,2,2.0,0,0.169167,0.2565,0.169633,0.25311,0.008707,0.010233,0.0066,0.0034
5000,2,2.0,1,0.158567,0.23825,0.169633,0.25311,0.008707,0.010233,0.0344,0.0082
5000,2,2.0,2,0.169333,0.2527,0.169633,0.25311,0.008707,0.010233,0.0104,0.0006
5000,2,2.0,3,0.1852,0.26955,0.169633,0.25311,0.008707,0.010233,0.0118,0.0026
5000,2,2.0,4,0.1659,0.24855,0.169633,0.25311,0.008707,0.010233,0.0232,0.0212
10000,0,0.1,0,0.20755,0.346975,0.21388,0.357375,0.006116,0.008433,0.0357,0.0059
10000,0,0.1,1,0.205783,0.3494,0.21388,0.357375,0.006116,0.008433,0.0387,0.005
10000,0,0.1,2,0.219783,0.36455,0.21388,0.357375,0.006116,0.008433,0.0303,0.003
10000,0,0.1,3,0.215883,0.357075,0.21388,0.357375,0.006116,0.008433,0.0159,0.003
10000,0,0.1,4,0.2204,0.368875,0.21388,0.357375,0.006116,0.008433,0.0319,0.0254
10000,0,0.5,0,0.2041,0.3448,0.207983,0.351675,0.003198,0.004955,0.0066,0.002
10000,0,0.5,1,0.204483,0.34805,0.207983,0.351675,0.003198,0.004955,0.0104,0.0012
10000,0,0.5,2,0.211883,0.356025,0.207983,0.351675,0.003198,0.004955,0.0129,0.003
10000,0,0.5,3,0.2086,0.35125,0.207983,0.351675,0.003198,0.004955,0.0079,0.0023
10000,0,0.5,4,0.21085,0.35825,0.207983,0.351675,0.003198,0.004955,0.0145,0.005
10000,0,1.0,0,0.203967,0.3451,0.207407,0.35115,0.002666,0.004223,0.0048,0.0012
10000,0,1.0,1,0.2047,0.348525,0.207407,0.35115,0.002666,0.004223,0.0099,0.0008
10000,0,1.0,2,0.210567,0.35445,0.207407,0.35115,0.002666,0.004223,0.0113,0.0018
10000,0,1.0,3,0.207917,0.35065,0.207407,0.35115,0.002666,0.004223,0.007,0.0014
10000,0,1.0,4,0.209883,0.357025,0.207407,0.35115,0.002666,0.004223,0.0142,0.0028
10000,0,2.0,0,0.203667,0.344975,0.20722,0.351035,0.002599,0.004166,0.0043,0.0009
10000,0,2.0,1,0.20485,0.34855,0.20722,0.351035,0.002599,0.004166,0.0091,0.0005
10000,0,2.0,2,0.2104,0.35435,0.20722,0.351035,0.002599,0.004166,0.0113,0.0008
10000,0,2.0,3,0.207683,0.35055,0.20722,0.351035,0.002599,0.004166,0.0063,0.0009
10000,0,2.0,4,0.2095,0.35675,0.20722,0.351035,0.002599,0.004166,0.0135,0.0013
10000,1,0.1,0,0.262683,0.377775,0.258263,0.36993,0.021636,0.028827,0.0305,0.0299
10000,1,0.1,1,0.260283,0.37165,0.258263,0.36993,0.021636,0.028827,0.1413,0.0643
10000,1,0.1,2,0.291,0.40765,0.258263,0.36993,0.021636,0.028827,0.0436,0.0067
10000,1,0.1,3,0.223217,0.31845,0.258263,0.36993,0.021636,0.028827,0.0285,0.003
10000,1,0.1,4,0.254133,0.374125,0.258263,0.36993,0.021636,0.028827,0.097,0.0316
10000,1,0.5,0,0.15865,0.23945,0.165804,0.25301,0.006347,0.015851,0.0075,0.0075
10000,1,0.5,1,0.163767,0.241125,0.165804,0.25301,0.006347,0.015851,0.0319,0.0153
10000,1,0.5,2,0.169917,0.275475,0.165804,0.25301,0.006347,0.015851,0.0079,0.0013
10000,1,0.5,3,0.175967,0.269025,0.165804,0.25301,0.006347,0.015851,0.0084,0.003
10000,1,0.5,4,0.160717,0.239975,0.165804,0.25301,0.006347,0.015851,0.0226,0.0054
10000,1,1.0,0,0.155283,0.234,0.156037,0.233855,0.001014,0.001137,0.0046,0.0039
10000,1,1.0,1,0.156267,0.233175,0.156037,0.233855,0.001014,0.001137,0.0174,0.008
10000,1,1.0,2,0.155983,0.235375,0.156037,0.233855,0.001014,0.001137,0.0087,0.0006
10000,1,1.0,3,0.1578,0.234625,0.156037,0.233855,0.001014,0.001137,0.0065,0.0026
10000,1,1.0,4,0.15485,0.2321,0.156037,0.233855,0.001014,0.001137,0.0121,0.0022
10000,1,2.0,0,0.1528,0.230175,0.1536,0.23152,0.001182,0.001427,0.0047,0.0023
10000,1,2.0,1,0.153833,0.231425,0.1536,0.23152,0.001182,0.001427,0.0077,0.0038
10000,1,2.0,2,0.153783,0.232925,0.1536,0.23152,0.001182,0.001427,0.0092,0.0002
10000,1,2.0,3,0.15555,0.233325,0.1536,0.23152,0.001182,0.001427,0.0063,0.0018
10000,1,2.0,4,0.152033,0.22975,0.1536,0.23152,0.001182,0.001427,0.0109,0.0002
10000,2,0.1,0,0.3633,0.496275,0.310147,0.436135,0.028661,0.032628,0.0294,0.0294
10000,2,0.1,1,0.290767,0.410625,0.310147,0.436135,0.028661,0.032628,0.1425,0.0655
10000,2,0.1,2,0.312267,0.4436,0.310147,0.436135,0.028661,0.032628,0.0438,0.0068
10000,2,0.1,3,0.30355,0.40755,0.310147,0.436135,0.028661,0.032628,0.029,0.003
10000,2,0.1,4,0.28085,0.422625,0.310147,0.436135,0.028661,0.032628,0.2258,0.0882
10000,2,0.5,0,0.196083,0.29255,0.189507,0.277775,0.007521,0.010115,0.008,0.0075
10000,2,0.5,1,0.18095,0.27055,0.189507,0.277775,0.007521,0.010115,0.0321,0.0156
10000,2,0.5,2,0.199167,0.286075,0.189507,0.277775,0.007521,0.010115,0.0074,0.0011
10000,2,0.5,3,0.190333,0.274675,0.189507,0.277775,0.007521,0.010115,0.0073,0.003
10000,2,0.5,4,0.181,0.265025,0.189507,0.277775,0.007521,0.010115,0.0508,0.0381
10000,2,1.0,0,0.163567,0.245075,0.162117,0.243475,0.004297,0.005116,0.0055,0.004
10000,2,1.0,1,0.155533,0.235925,0.162117,0.243475,0.004297,0.005116,0.0182,0.0081
10000,2,1.0,2,0.1677,0.25115,0.162117,0.243475,0.004297,0.005116,0.0081,0.0003
10000,2,1.0,3,0.164683,0.24495,0.162117,0.243475,0.004297,0.005116,0.0057,0.0027
