n,r,epsilon,seed,var_a,var_b,raw_mi_nats,synthetic_mi_nats,abs_mi_error_nats
3000,0,0.1,0,age,education_num,0.041517,0.007771,0.033746
3000,0,0.1,0,age,hours_per_week,0.131864,0.003316,0.128547
3000,0,0.1,0,age,income_class,0.129583,0.003871,0.125712
3000,0,0.1,0,education_num,hours_per_week,0.03584,0.004762,0.031078
3000,0,0.1,0,education_num,income_class,0.286015,0.0081,0.277915
3000,0,0.1,0,hours_per_week,income_class,0.045989,0.002084,0.043905
3000,0,0.1,1,age,education_num,0.041517,0.009585,0.031931
3000,0,0.1,1,age,hours_per_week,0.131864,0.003072,0.128792
3000,0,0.1,1,age,income_class,0.129583,0.003293,0.12629
3000,0,0.1,1,education_num,hours_per_week,0.03584,0.008113,0.027727
3000,0,0.1,1,education_num,income_class,0.286015,0.007023,0.278992
3000,0,0.1,1,hours_per_week,income_class,0.045989,0.00382,0.042168
3000,0,0.1,2,age,education_num,0.041517,0.008348,0.033169
3000,0,0.1,2,age,hours_per_week,0.131864,0.00373,0.128133
3000,0,0.1,2,age,income_class,0.129583,0.002839,0.126744
3000,0,0.1,2,education_num,hours_per_week,0.03584,0.008054,0.027786
3000,0,0.1,2,education_num,income_class,0.286015,0.006585,0.27943
3000,0,0.1,2,hours_per_week,income_class,0.045989,0.005284,0.040705
3000,0,0.1,3,age,education_num,0.041517,0.009247,0.03227
3000,0,0.1,3,age,hours_per_week,0.131864,0.005929,0.125935
3000,0,0.1,3,age,income_class,0.129583,0.002768,0.126815
3000,0,0.1,3,education_num,hours_per_week,0.03584,0.008403,0.027437
3000,0,0.1,3,education_num,income_class,0.286015,0.004489,0.281526
3000,0,0.1,3,hours_per_week,income_class,0.045989,0.00281,0.043179
3000,0,0.1,4,age,education_num,0.041517,0.008402,0.033115
3000,0,0.1,4,age,hours_per_week,0.131864,0.004071,0.127793
3000,0,0.1,4,age,income_class,0.129583,0.004279,0.125304
3000,0,0.1,4,education_num,hours_per_week,0.03584,0.012518,0.023322
3000,0,0.1,4,education_num,income_class,0.286015,0.008276,0.277738
3000,0,0.1,4,hours_per_week,income_class,0.045989,0.003595,0.042393
3000,0,0.5,0,age,education_num,0.041517,0.007338,0.034179
3000,0,0.5,0,age,hours_per_week,0.131864,0.003154,0.12871
3000,0,0.5,0,age,income_class,0.129583,0.003338,0.126245
3000,0,0.5,0,education_num,hours_per_week,0.03584,0.0056,0.03024
3000,0,0.5,0,education_num,income_class,0.286015,0.01168,0.274334
3000,0,0.5,0,hours_per_week,income_class,0.045989,0.002647,0.043342
3000,0,0.5,1,age,education_num,0.041517,0.008644,0.032872
3000,0,0.5,1,age,hours_per_week,0.131864,0.003431,0.128433
3000,0,0.5,1,age,income_class,0.129583,0.004372,0.125211
3000,0,0.5,1,education_num,hours_per_week,0.03584,0.008891,0.026949
3000,0,0.5,1,education_num,income_class,0.286015,0.007807,0.278207
3000,0,0.5,1,hours_per_week,income_class,0.045989,0.004954,0.041035
3000,0,0.5,2,age,education_num,0.041517,0.008541,0.032975
3000,0,0.5,2,age,hours_per_week,0.131864,0.002958,0.128905
3000,0,0.5,2,age,income_class,0.129583,0.003229,0.126354
3000,0,0.5,2,education_num,hours_per_week,0.03584,0.008275,0.027565
3000,0,0.5,2,education_num,income_class,0.286015,0.006194,0.27982
3000,0,0.5,2,hours_per_week,income_class,0.045989,0.004635,0.041354
3000,0,0.5,3,age,education_num,0.041517,0.00915,0.032367
3000,0,0.5,3,age,hours_per_week,0.131864,0.004939,0.126924
3000,0,0.5,3,age,income_class,0.129583,0.001852,0.127731
3000,0,0.5,3,education_num,hours_per_week,0.03584,0.010501,0.025339
3000,0,0.5,3,education_num,income_class,0.286015,0.006725,0.27929
3000,0,0.5,3,hours_per_week,income_class,0.045989,0.002792,0.043196
3000,0,0.5,4,age,education_num,0.041517,0.009347,0.03217
3000,0,0.5,4,age,hours_per_week,0.131864,0.004459,0.127404
3000,0,0.5,4,age,income_class,0.129583,0.004726,0.124857
3000,0,0.5,4,education_num,hours_per_week,0.03584,0.009318,0.026522
3000,0,0.5,4,education_num,income_class,0.286015,0.007638,0.278376
3000,0,0.5,4,hours_per_week,income_class,0.045989,0.006646,0.039343
3000,0,1.0,0,age,education_num,0.041517,0.00772,0.033797
3000,0,1.0,0,age,hours_per_week,0.131864,0.004017,0.127846
3000,0,1.0,0,age,income_class,0.129583,0.00496,0.124623
3000,0,1.0,0,education_num,hours_per_week,0.03584,0.008561,0.027279
3000,0,1.0,0,education_num,income_class,0.286015,0.010471,0.275543
3000,0,1.0,0,hours_per_week,income_class,0.045989,0.003038,0.042951
3000,0,1.0,1,age,education_num,0.041517,0.009561,0.031956
3000,0,1.0,1,age,hours_per_week,0.131864,0.003149,0.128715
3000,0,1.0,1,age,income_class,0.129583,0.003485,0.126098
3000,0,1.0,1,education_num,hours_per_week,0.03584,0.008901,0.026939
3000,0,1.0,1,education_num,income_class,0.286015,0.007325,0.27869
3000,0,1.0,1,hours_per_week,income_class,0.045989,0.003198,0.042791
3000,0,1.0,2,age,education_num,0.041517,0.008608,0.032909
3000,0,1.0,2,age,hours_per_week,0.131864,0.003285,0.128578
