n,r,epsilon,seed,discretization_time_s,structure_learning_time_s,cpt_fitting_time_s,sampling_time_s,total_time_s,output_path
3000,0,0.1,0,1e-06,0.000119,0.004674,0.003499,0.008293,data/synthetic/private/privbayes_private_n3000_r0_eps0.1_seed0.csv
3000,0,0.1,1,0.0,0.000119,0.003905,0.00332,0.007344,data/synthetic/private/privbayes_private_n3000_r0_eps0.1_seed1.csv
3000,0,0.1,2,0.0,0.000107,0.003924,0.002999,0.007031,data/synthetic/private/privbayes_private_n3000_r0_eps0.1_seed2.csv
3000,0,0.1,3,1e-06,0.000108,0.004077,0.00274,0.006927,data/synthetic/private/privbayes_private_n3000_r0_eps0.1_seed3.csv
3000,0,0.1,4,1e-06,0.000104,0.004042,0.002833,0.00698,data/synthetic/private/privbayes_private_n3000_r0_eps0.1_seed4.csv
3000,0,0.5,0,1e-06,0.000124,0.005274,0.002675,0.008073,data/synthetic/private/privbayes_private_n3000_r0_eps0.5_seed0.csv
3000,0,0.5,1,0.0,0.00012,0.004084,0.002744,0.006949,data/synthetic/private/privbayes_private_n3000_r0_eps0.5_seed1.csv
3000,0,0.5,2,1e-06,0.000103,0.003886,0.003266,0.007256,data/synthetic/private/privbayes_private_n3000_r0_eps0.5_seed2.csv
3000,0,0.5,3,1e-06,0.000125,0.005219,0.003139,0.008484,data/synthetic/private/privbayes_private_n3000_r0_eps0.5_seed3.csv
3000,0,0.5,4,1e-06,0.000171,0.005512,0.004259,0.009944,data/synthetic/private/privbayes_private_n3000_r0_eps0.5_seed4.csv
3000,0,1.0,0,1e-06,0.000139,0.005056,0.002655,0.007852,data/synthetic/private/privbayes_private_n3000_r0_eps1_seed0.csv
3000,0,1.0,1,1e-06,0.000117,0.005504,0.002847,0.008468,data/synthetic/private/privbayes_private_n3000_r0_eps1_seed1.csv
3000,0,1.0,2,1e-06,0.000149,0.00477,0.003133,0.008053,data/synthetic/private/privbayes_private_n3000_r0_eps1_seed2.csv
3000,0,1.0,3,1e-06,0.000188,0.00501,0.002969,0.008168,data/synthetic/private/privbayes_private_n3000_r0_eps1_seed3.csv
3000,0,1.0,4,1e-06,0.00014,0.004766,0.002783,0.00769,data/synthetic/private/privbayes_private_n3000_r0_eps1_seed4.csv
3000,0,2.0,0,1e-06,0.000115,0.004613,0.003115,0.007843,data/synthetic/private/privbayes_private_n3000_r0_eps2_seed0.csv
3000,0,2.0,1,1e-06,0.000116,0.004229,0.002859,0.007205,data/synthetic/private/privbayes_private_n3000_r0_eps2_seed1.csv
3000,0,2.0,2,0.0,0.000162,0.004166,0.002834,0.007163,data/synthetic/private/privbayes_private_n3000_r0_eps2_seed2.csv
3000,0,2.0,3,1e-06,0.000116,0.004572,0.002702,0.007391,data/synthetic/private/privbayes_private_n3000_r0_eps2_seed3.csv
3000,0,2.0,4,1e-06,0.000186,0.003974,0.002525,0.006687,data/synthetic/private/privbayes_private_n3000_r0_eps2_seed4.csv
3000,1,0.1,0,1e-06,0.130306,0.01282,0.040714,0.183841,data/synthetic/private/privbayes_private_n3000_r1_eps0.1_seed0.csv
3000,1,0.1,1,1e-06,0.141835,0.012519,0.026942,0.181297,data/synthetic/private/privbayes_private_n3000_r1_eps0.1_seed1.csv
3000,1,0.1,2,1e-06,0.13115,0.012917,0.027672,0.171741,data/synthetic/private/privbayes_private_n3000_r1_eps0.1_seed2.csv
3000,1,0.1,3,1e-06,0.130932,0.013453,0.027902,0.172287,data/synthetic/private/privbayes_private_n3000_r1_eps0.1_seed3.csv
3000,1,0.1,4,1e-06,0.128611,0.011842,0.027163,0.167617,data/synthetic/private/privbayes_private_n3000_r1_eps0.1_seed4.csv
3000,1,0.5,0,0.0,0.126926,0.010784,0.02739,0.165101,data/synthetic/private/privbayes_private_n3000_r1_eps0.5_seed0.csv
3000,1,0.5,1,1e-06,0.134471,0.014387,0.027786,0.176645,data/synthetic/private/privbayes_private_n3000_r1_eps0.5_seed1.csv
3000,1,0.5,2,1e-06,0.132724,0.014658,0.027529,0.174912,data/synthetic/private/privbayes_private_n3000_r1_eps0.5_seed2.csv
3000,1,0.5,3,1e-06,0.13307,0.014916,0.03083,0.178818,data/synthetic/private/privbayes_private_n3000_r1_eps0.5_seed3.csv
3000,1,0.5,4,1e-06,0.119843,0.01161,0.025771,0.157224,data/synthetic/private/privbayes_private_n3000_r1_eps0.5_seed4.csv
3000,1,1.0,0,1e-06,0.121898,0.011508,0.026348,0.159754,data/synthetic/private/privbayes_private_n3000_r1_eps1_seed0.csv
3000,1,1.0,1,1e-06,0.119879,0.011265,0.025155,0.156301,data/synthetic/private/privbayes_private_n3000_r1_eps1_seed1.csv
3000,1,1.0,2,1e-06,0.122219,0.013137,0.028608,0.163964,data/synthetic/private/privbayes_private_n3000_r1_eps1_seed2.csv
3000,1,1.0,3,0.0,0.120067,0.011698,0.027315,0.15908,data/synthetic/private/privbayes_private_n3000_r1_eps1_seed3.csv
3000,1,1.0,4,1e-06,0.129372,0.016086,0.025334,0.170792,data/synthetic/private/privbayes_private_n3000_r1_eps1_seed4.csv
3000,1,2.0,0,1e-06,0.124737,0.01142,0.030201,0.166358,data/synthetic/private/privbayes_private_n3000_r1_eps2_seed0.csv
3000,1,2.0,1,1e-06,0.132769,0.01619,0.025047,0.174007,data/synthetic/private/privbayes_private_n3000_r1_eps2_seed1.csv
3000,1,2.0,2,1e-06,0.1381,0.011775,0.026412,0.176288,data/synthetic/private/privbayes_private_n3000_r1_eps2_seed2.csv
3000,1,2.0,3,1e-06,0.132334,0.012737,0.025508,0.17058,data/synthetic/private/privbayes_private_n3000_r1_eps2_seed3.csv
3000,1,2.0,4,1e-06,0.126345,0.012583,0.028868,0.167797,data/synthetic/private/privbayes_private_n3000_r1_eps2_seed4.csv
3000,2,0.1,0,1e-06,0.243366,0.01524,0.03471,0.293317,data/synthetic/private/privbayes_private_n3000_r2_eps0.1_seed0.csv
3000,2,0.1,1,1e-06,0.248471,0.01512,0.034247,0.297838,data/synthetic/private/privbayes_private_n3000_r2_eps0.1_seed1.csv
3000,2,0.1,2,1e-06,0.25129,0.013532,0.030896,0.295718,data/synthetic/private/privbayes_private_n3000_r2_eps0.1_seed2.csv
3000,2,0.1,3,1e-06,0.257075,0.015364,0.033383,0.305823,data/synthetic/private/privbayes_private_n3000_r2_eps0.1_seed3.csv
3000,2,0.1,4,1e-06,0.260362,0.016628,0.034771,0.311762,data/synthetic/private/privbayes_private_n3000_r2_eps0.1_seed4.csv
3000,2,0.5,0,1e-06,0.244263,0.016593,0.034328,0.295185,data/synthetic/private/privbayes_private_n3000_r2_eps0.5_seed0.csv
3000,2,0.5,1,1e-06,0.254338,0.015396,0.033539,0.303273,data/synthetic/private/privbayes_private_n3000_r2_eps0.5_seed1.csv
3000,2,0.5,2,0.0,0.241756,0.015488,0.036347,0.293591,data/synthetic/private/privbayes_private_n3000_r2_eps0.5_seed2.csv
3000,2,0.5,3,0.0,0.245485,0.014734,0.033652,0.29387,data/synthetic/private/privbayes_private_n3000_r2_eps0.5_seed3.csv
3000,2,0.5,4,1e-06,0.254852,0.016077,0.045082,0.316012,data/synthetic/private/privbayes_private_n3000_r2_eps0.5_seed4.csv
3000,2,1.0,0,2e-06,0.243955,0.015922,0.034838,0.294717,data/synthetic/private/privbayes_private_n3000_r2_eps1_seed0.csv
3000,2,1.0,1,1e-06,0.244117,0.017146,0.035549,0.296813,data/synthetic/private/privbayes_private_n3000_r2_eps1_seed1.csv
3000,2,1.0,2,1e-06,0.255144,0.016546,0.03497,0.306661,data/synthetic/private/privbayes_private_n3000_r2_eps1_seed2.csv
3000,2,1.0,3,1e-06,0.239112,0.015185,0.033118,0.287416,data/synthetic/private/privbayes_private_n3000_r2_eps1_seed3.csv
3000,2,1.0,4,1e-06,0.238219,0.01355,0.031225,0.282995,data/synthetic/private/privbayes_private_n3000_r2_eps1_seed4.csv
3000,2,2.0,0,1e-06,0.273299,0.019577,0.039827,0.332703,data/synthetic/private/privbayes_private_n3000_r2_eps2_seed0.csv
3000,2,2.0,1,1e-06,0.259163,0.017674,0.038359,0.315198,data/synthetic/private/privbayes_private_n3000_r2_eps2_seed1.csv
3000,2,2.0,2,2e-06,0.264382,0.015765,0.036898,0.317048,data/synthetic/private/privbayes_private_n3000_r2_eps2_seed2.csv
3000,2,2.0,3,1e-06,0.261143,0.016125,0.040826,0.318096,data/synthetic/private/privbayes_private_n3000_r2_eps2_seed3.csv
3000,2,2.0,4,1e-06,0.284957,0.014654,0.03125,0.330862,data/synthetic/private/privbayes_private_n3000_r2_eps2_seed4.csv
5000,0,0.1,0,0.000101,0.000103,0.005715,0.003967,0.009886,data/synthetic/private/privbayes_private_n5000_r0_eps0.1_seed0.csv
5000,0,0.1,1,1e-06,0.000115,0.005468,0.003619,0.009202,data/synthetic/private/privbayes_private_n5000_r0_eps0.1_seed1.csv
5000,0,0.1,2,1e-06,0.000118,0.005662,0.003998,0.009778,data/synthetic/private/privbayes_private_n5000_r0_eps0.1_seed2.csv
5000,0,0.1,3,1e-06,0.000122,0.006079,0.003532,0.009733,data/synthetic/private/privbayes_private_n5000_r0_eps0.1_seed3.csv
5000,0,0.1,4,1e-06,0.000124,0.005219,0.003434,0.008778,data/synthetic/private/privbayes_private_n5000_r0_eps0.1_seed4.csv
5000,0,0.5,0,1e-06,0.000115,0.005321,0.003333,0.00877,data/synthetic/private/privbayes_private_n5000_r0_eps0.5_seed0.csv
5000,0,0.5,1,1e-06,0.000112,0.004859,0.003398,0.00837,data/synthetic/private/privbayes_private_n5000_r0_eps0.5_seed1.csv
5000,0,0.5,2,1e-06,0.000117,0.005512,0.003673,0.009303,data/synthetic/private/privbayes_private_n5000_r0_eps0.5_seed2.csv
5000,0,0.5,3,1e-06,0.000128,0.00574,0.003559,0.009428,data/synthetic/private/privbayes_private_n5000_r0_eps0.5_seed3.csv
5000,0,0.5,4,1e-06,0.000113,0.004874,0.003853,0.008841,data/synthetic/private/privbayes_private_n5000_r0_eps0.5_seed4.csv
5000,0,1.0,0,1e-06,0.000117,0.005178,0.003439,0.008734,data/synthetic/private/privbayes_private_n5000_r0_eps1_seed0.csv
5000,0,1.0,1,1e-06,0.000122,0.005334,0.003387,0.008843,data/synthetic/private/privbayes_private_n5000_r0_eps1_seed1.csv
5000,0,1.0,2,1e-06,0.000134,0.006546,0.003611,0.010292,data/synthetic/private/privbayes_private_n5000_r0_eps1_seed2.csv
5000,0,1.0,3,1e-06,0.000116,0.005988,0.003266,0.009371,data/synthetic/private/privbayes_private_n5000_r0_eps1_seed3.csv
5000,0,1.0,4,1e-06,0.000126,0.005577,0.003542,0.009245,data/synthetic/private/privbayes_private_n5000_r0_eps1_seed4.csv
5000,0,2.0,0,1e-06,0.000121,0.005284,0.003346,0.008752,data/synthetic/private/privbayes_private_n5000_r0_eps2_seed0.csv
5000,0,2.0,1,1e-06,0.000113,0.005151,0.00329,0.008555,data/synthetic/private/privbayes_private_n5000_r0_eps2_seed1.csv
5000,0,2.0,2,1e-06,0.000103,0.004928,0.003977,0.009009,data/synthetic/private/privbayes_private_n5000_r0_eps2_seed2.csv
5000,0,2.0,3,1e-06,0.000108,0.005737,0.003424,0.00927,data/synthetic/private/privbayes_private_n5000_r0_eps2_seed3.csv
5000,0,2.0,4,1e-06,0.000113,0.005626,0.003507,0.009246,data/synthetic/private/privbayes_private_n5000_r0_eps2_seed4.csv
5000,1,0.1,0,1e-06,0.137115,0.013355,0.044644,0.195116,data/synthetic/private/privbayes_private_n5000_r1_eps0.1_seed0.csv
5000,1,0.1,1,1e-06,0.138569,0.012612,0.040014,0.191195,data/synthetic/private/privbayes_private_n5000_r1_eps0.1_seed1.csv
5000,1,0.1,2,1e-06,0.138646,0.013434,0.040562,0.192643,data/synthetic/private/privbayes_private_n5000_r1_eps0.1_seed2.csv
5000,1,0.1,3,1e-06,0.132037,0.015725,0.042782,0.190545,data/synthetic/private/privbayes_private_n5000_r1_eps0.1_seed3.csv
5000,1,0.1,4,0.0,0.131358,0.015014,0.03899,0.185362,data/synthetic/private/privbayes_private_n5000_r1_eps0.1_seed4.csv
5000,1,0.5,0,1e-06,0.139509,0.013394,0.042531,0.195435,data/synthetic/private/privbayes_private_n5000_r1_eps0.5_seed0.csv
5000,1,0.5,1,1e-06,0.134847,0.013761,0.040051,0.188659,data/synthetic/private/privbayes_private_n5000_r1_eps0.5_seed1.csv
5000,1,0.5,2,1e-06,0.160631,0.01458,0.04348,0.218692,data/synthetic/private/privbayes_private_n5000_r1_eps0.5_seed2.csv
5000,1,0.5,3,1e-06,0.134958,0.01442,0.042339,0.191718,data/synthetic/private/privbayes_private_n5000_r1_eps0.5_seed3.csv
5000,1,0.5,4,1e-06,0.134535,0.016531,0.038792,0.189858,data/synthetic/private/privbayes_private_n5000_r1_eps0.5_seed4.csv
5000,1,1.0,0,0.0,0.134617,0.013842,0.046476,0.194935,data/synthetic/private/privbayes_private_n5000_r1_eps1_seed0.csv
5000,1,1.0,1,1e-06,0.134841,0.012344,0.041345,0.188531,data/synthetic/private/privbayes_private_n5000_r1_eps1_seed1.csv
5000,1,1.0,2,1e-06,0.136042,0.014754,0.042682,0.193478,data/synthetic/private/privbayes_private_n5000_r1_eps1_seed2.csv
5000,1,1.0,3,1e-06,0.132132,0.012297,0.041466,0.185895,data/synthetic/private/privbayes_private_n5000_r1_eps1_seed3.csv
5000,1,1.0,4,1e-06,0.139123,0.014258,0.042743,0.196124,data/synthetic/private/privbayes_private_n5000_r1_eps1_seed4.csv
5000,1,2.0,0,1e-06,0.131078,0.013665,0.042828,0.187572,data/synthetic/private/privbayes_private_n5000_r1_eps2_seed0.csv
5000,1,2.0,1,1e-06,0.135941,0.013387,0.040823,0.190152,data/synthetic/private/privbayes_private_n5000_r1_eps2_seed1.csv
5000,1,2.0,2,0.0,0.13275,0.014917,0.042134,0.189801,data/synthetic/private/privbayes_private_n5000_r1_eps2_seed2.csv
5000,1,2.0,3,1e-06,0.136782,0.012397,0.043028,0.192208,data/synthetic/private/privbayes_private_n5000_r1_eps2_seed3.csv
5000,1,2.0,4,1e-06,0.158709,0.014422,0.044223,0.217355,data/synthetic/private/privbayes_private_n5000_r1_eps2_seed4.csv
5000,2,0.1,0,1e-06,0.31951,0.018066,0.054662,0.392238,data/synthetic/private/privbayes_private_n5000_r2_eps0.1_seed0.csv
5000,2,0.1,1,1e-06,0.327242,0.015848,0.05284,0.395931,data/synthetic/private/privbayes_private_n5000_r2_eps0.1_seed1.csv
5000,2,0.1,2,1e-06,0.333459,0.015167,0.054116,0.402742,data/synthetic/private/privbayes_private_n5000_r2_eps0.1_seed2.csv
